Наименование;Раздел;Страна производитель;Таблица фигур;Рабочая среда;Температура рабочей среды, °С;Температура окружающего воздуха, °С;Климатическое исполнение;Класс герметичности;Приемка;Назначенный срок службы, лет;Назначенный ресурс, циклов;Наработка на отказ, циклов;Гарантия;Вид затвора;Расположение ходового узла;Тип присоединения;Тип привода;Диаметр DN, мм;Давление PN, кгс/см²;Материал корпуса;Масса, кг, не более;Цена закупки;Цена без НДС;Срок изготовления
Задвижка параллельная литая с невыдвижным шпинделем фланцевая с редуктором 30ч515бр DN 600 PN 1,0 МПа У3, корпус чугун, класс герметичности «D» по ГОСТ 9544-2015;Задвижки;Россия;30ч515бр;Вода, пар, жидкие среды не агрессивные к материалам изделия;От -15 до +100;От -15 до +40;У3;D;ОТК;10;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Параллельная;С невыдвижным шпинделем;Фланцевое;Редукторный;600;10;Чугун;1120;По запросу;517230;Под заказ
Задвижка параллельная литая с невыдвижным шпинделем фланцевая с редуктором 30ч515бр DN 800 PN 1,0 МПа У3, корпус чугун, класс герметичности «D» по ГОСТ 9544-2015;Задвижки;Россия;30ч515бр;Вода, пар, жидкие среды не агрессивные к материалам изделия;От -15 до +100;От -15 до +40;У3;D;ОТК;10;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Параллельная;С невыдвижным шпинделем;Фланцевое;Редукторный;800;10;Чугун;2800;По запросу;1087500;Под заказ
Задвижка параллельная литая с невыдвижным шпинделем фланцевая под электропривод 30ч915бр DN 500 PN 1,0 МПа У3, корпус чугун, класс герметичности «D» по ГОСТ 9544-2015;Задвижки;Россия;30ч915бр;Вода, пар, жидкие среды не агрессивные к материалам изделия;От -15 до +100;От -15 до +40;У3;D;ОТК;10;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Параллельная;С невыдвижным шпинделем;Фланцевое;Под электропривод;500;10;Чугун;890;По запросу;408960;Под заказ
Задвижка параллельная литая с невыдвижным шпинделем фланцевая под электропривод 30ч915бр DN 600 PN 1,0 МПа У3, корпус чугун, класс герметичности «D» по ГОСТ 9544-2015;Задвижки;Россия;30ч915бр;Вода, пар, жидкие среды не агрессивные к материалам изделия;От -15 до +100;От -15 до +40;У3;D;ОТК;10;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Параллельная;С невыдвижным шпинделем;Фланцевое;Под электропривод;600;10;Чугун;1320;По запросу;492600;Под заказ
Задвижка параллельная литая с невыдвижным шпинделем фланцевая под электропривод 30ч915бр DN 800 PN 1,0 МПа У3, корпус чугун, класс герметичности «D» по ГОСТ 9544-2015;Задвижки;Россия;30ч915бр;Вода, пар, жидкие среды не агрессивные к материалам изделия;От -15 до +100;От -15 до +40;У3;D;ОТК;10;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Параллельная;С невыдвижным шпинделем;Фланцевое;Под электропривод;800;10;Чугун;2930;По запросу;1035720;Под заказ
Задвижка клиновая литая с невыдвижным шпинделем фланцевая с редуктором 30ч530бр DN 600 PN 1,0 МПа У3, корпус чугун, класс герметичности «D» по ГОСТ 9544-2015;Задвижки;Россия;30ч530бр;Вода, пар, жидкие среды не агрессивные к материалам изделия;От -15 до +115;От -15 до +40;У3;D;ОТК;10;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С невыдвижным шпинделем;Фланцевое;Редукторный;600;10;Чугун;1085;По запросу;542430;Под заказ
Задвижка клиновая литая с невыдвижным шпинделем фланцевая с редуктором 30ч530бр DN 1000 PN 1,0 МПа У3, корпус чугун, класс герметичности «D» по ГОСТ 9544-2015;Задвижки;Россия;30ч530бр;Вода, пар, жидкие среды не агрессивные к материалам изделия;От -15 до +115;От -15 до +40;У3;D;ОТК;10;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С невыдвижным шпинделем;Фланцевое;Редукторный;1000;10;Чугун;4230;По запросу;1239840;Под заказ
Задвижка клиновая литая с невыдвижным шпинделем фланцевая с редуктором 30ч530бр DN 1200 PN 1,0 МПа У3, корпус чугун, класс герметичности «D» по ГОСТ 9544-2015;Задвижки;Россия;30ч530бр;Вода, пар, жидкие среды не агрессивные к материалам изделия;От -15 до +115;От -15 до +40;У3;D;ОТК;10;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С невыдвижным шпинделем;Фланцевое;Редукторный;1200;10;Чугун;7327;По запросу;1473570;Под заказ
Задвижка клиновая литая с невыдвижным шпинделем фланцевая с редуктором 30ч530бр DN 1400 PN 1,0 МПа У3, корпус чугун, класс герметичности «D» по ГОСТ 9544-2015;Задвижки;Россия;30ч530бр;Вода, пар, жидкие среды не агрессивные к материалам изделия;От -15 до +115;От -15 до +40;У3;D;ОТК;10;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С невыдвижным шпинделем;Фланцевое;Редукторный;1400;10;Чугун;9159;По запросу;1605740;Под заказ
Задвижка клиновая литая с невыдвижным шпинделем фланцевая с редуктором 30ч530бр DN 1600 PN 1,0 МПа У3, корпус чугун, класс герметичности «D» по ГОСТ 9544-2015;Задвижки;Россия;30ч530бр;Вода, пар, жидкие среды не агрессивные к материалам изделия;От -15 до +115;От -15 до +40;У3;D;ОТК;10;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С невыдвижным шпинделем;Фланцевое;Редукторный;1600;10;Чугун;10306;По запросу;3103120;Под заказ
Задвижка клиновая литая с невыдвижным шпинделем фланцевая под электропривод 30ч930бр DN 600 PN 1,0 МПа У3, корпус чугун, класс герметичности «D» по ГОСТ 9544-2015;Задвижки;Россия;30ч930бр;Вода, пар, жидкие среды не агрессивные к материалам изделия;От -15 до +115;От -15 до +40;У3;D;ОТК;10;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С невыдвижным шпинделем;Фланцевое;Под электропривод;600;10;Чугун;1116;По запросу;516600;Под заказ
Задвижка клиновая литая с невыдвижным шпинделем фланцевая под электропривод 30ч930бр DN 1000 PN 1,0 МПа У3, корпус чугун, класс герметичности «D» по ГОСТ 9544-2015;Задвижки;Россия;30ч930бр;Вода, пар, жидкие среды не агрессивные к материалам изделия;От -15 до +115;От -15 до +40;У3;D;ОТК;10;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С невыдвижным шпинделем;Фланцевое;Под электропривод;1000;10;Чугун;3523;По запросу;1180800;Под заказ
Задвижка клиновая литая с невыдвижным шпинделем фланцевая под электропривод 30ч930бр DN 1200 PN 1,0 МПа У3, корпус чугун, класс герметичности «D» по ГОСТ 9544-2015;Задвижки;Россия;30ч930бр;Вода, пар, жидкие среды не агрессивные к материалам изделия;От -15 до +115;От -15 до +40;У3;D;ОТК;10;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С невыдвижным шпинделем;Фланцевое;Под электропривод;1200;10;Чугун;7327;По запросу;1403400;Под заказ
Задвижка клиновая литая с невыдвижным шпинделем фланцевая под электропривод 30ч930бр DN 1400 PN 1,0 МПа У3, корпус чугун, класс герметичности «D» по ГОСТ 9544-2015;Задвижки;Россия;30ч930бр;Вода, пар, жидкие среды не агрессивные к материалам изделия;От -15 до +115;От -15 до +40;У3;D;ОТК;10;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С невыдвижным шпинделем;Фланцевое;Под электропривод;1400;10;Чугун;9159;По запросу;1529280;Под заказ
Задвижка клиновая литая с невыдвижным шпинделем фланцевая под электропривод 30ч930бр DN 1600 PN 1,0 МПа У3, корпус чугун, класс герметичности «D» по ГОСТ 9544-2015;Задвижки;Россия;30ч930бр;Вода, пар, жидкие среды не агрессивные к материалам изделия;От -15 до +115;От -15 до +40;У3;D;ОТК;10;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С невыдвижным шпинделем;Фланцевое;Под электропривод;1600;10;Чугун;9934;По запросу;2955360;Под заказ
Задвижка с обрезиненным клином литая с невыдвижным шпинделем фланцевая ручная 30ч39р DN 50 PN 1,6 МПа У3, корпус чугун, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;30ч39р ;вода по СанПиН 2.1.4.1074;От -15 до +120;От -15 до +40;У3;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С невыдвижным шпинделем;Фланцевое;Ручной;50;16;Чугун;5,8;По запросу;5070;Под заказ
Задвижка с обрезиненным клином литая с невыдвижным шпинделем фланцевая ручная 30ч39р DN 65 PN 1,6 МПа У3, корпус чугун, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;30ч39р ;вода по СанПиН 2.1.4.1074;От -15 до +120;От -15 до +40;У3;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С невыдвижным шпинделем;Фланцевое;Ручной;65;16;Чугун;8,5;По запросу;5460;Под заказ
Задвижка с обрезиненным клином литая с невыдвижным шпинделем фланцевая ручная 30ч39р DN 80 PN 1,6 МПа У3, корпус чугун, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;30ч39р ;вода по СанПиН 2.1.4.1074;От -15 до +120;От -15 до +40;У3;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С невыдвижным шпинделем;Фланцевое;Ручной;80;16;Чугун;9,5;По запросу;6630;Под заказ
Задвижка с обрезиненным клином литая с невыдвижным шпинделем фланцевая ручная 30ч39р DN 100 PN 1,6 МПа У3, корпус чугун, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;30ч39р ;вода по СанПиН 2.1.4.1074;От -15 до +120;От -15 до +40;У3;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С невыдвижным шпинделем;Фланцевое;Ручной;100;16;Чугун;11;По запросу;8320;Под заказ
Задвижка с обрезиненным клином литая с невыдвижным шпинделем фланцевая ручная 30ч39р DN 125 PN 1,6 МПа У3, корпус чугун, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;30ч39р ;вода по СанПиН 2.1.4.1074;От -15 до +120;От -15 до +40;У3;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С невыдвижным шпинделем;Фланцевое;Ручной;125;16;Чугун;17;По запросу;15470;Под заказ
Задвижка с обрезиненным клином литая с невыдвижным шпинделем фланцевая ручная 30ч39р DN 150 PN 1,6 МПа У3, корпус чугун, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;30ч39р ;вода по СанПиН 2.1.4.1074;От -15 до +120;От -15 до +40;У3;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С невыдвижным шпинделем;Фланцевое;Ручной;150;16;Чугун;22;По запросу;15860;Под заказ
Задвижка с обрезиненным клином литая с невыдвижным шпинделем фланцевая ручная 30ч39р DN 200 PN 1,6 МПа У3, корпус чугун, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;30ч39р ;вода по СанПиН 2.1.4.1074;От -15 до +120;От -15 до +40;У3;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С невыдвижным шпинделем;Фланцевое;Ручной;200;16;Чугун;34;По запросу;23270;Под заказ
Задвижка с обрезиненным клином литая с невыдвижным шпинделем фланцевая ручная 30ч39р DN 250 PN 1,6 МПа У3, корпус чугун, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;30ч39р ;вода по СанПиН 2.1.4.1074;От -15 до +120;От -15 до +40;У3;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С невыдвижным шпинделем;Фланцевое;Ручной;250;16;Чугун;62;По запросу;39190;Под заказ
Задвижка с обрезиненным клином литая с невыдвижным шпинделем фланцевая ручная 30ч39р DN 300 PN 1,6 МПа У3, корпус чугун, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;30ч39р ;вода по СанПиН 2.1.4.1074;От -15 до +120;От -15 до +40;У3;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С невыдвижным шпинделем;Фланцевое;Ручной;300;16;Чугун;83;По запросу;53950;Под заказ
Задвижка с обрезиненным клином литая с невыдвижным шпинделем фланцевая ручная 30ч39р DN 350 PN 1,6 МПа У3, корпус чугун, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;30ч39р ;вода по СанПиН 2.1.4.1074;От -15 до +120;От -15 до +40;У3;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С невыдвижным шпинделем;Фланцевое;Ручной;350;16;Чугун;146;По запросу;91520;Под заказ
