Наименование;Раздел;Страна производитель;Таблица фигур;Рабочая среда;Температура рабочей среды, °С;Температура окружающего воздуха, °С;Климатическое исполнение;Класс герметичности;Приемка;Назначенный срок службы, лет;Назначенный ресурс, циклов;Наработка на отказ, циклов;Гарантия;Вид затвора;Расположение ходового узла;Тип присоединения;Тип привода;Диаметр DN, мм;Давление PN, кгс/см²;Материал корпуса;Масса, кг, не более;Цена закупки;Цена без НДС;Срок изготовления
Задвижка клиновая с выдвижным шпинделем фланцевая с редуктором 31нж545нж DN 150 PN 25,0 МПа УХЛ1, корпус ст. 08Х18Н10, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31нж545нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +565;От -60 до +60;УХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Редукторный;150;250;Коррозионностойкая сталь;350;По запросу;899910;Под заказ
Задвижка клиновая с выдвижным шпинделем фланцевая с редуктором 31нж545нж DN 200 PN 25,0 МПа УХЛ1, корпус ст. 08Х18Н10, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31нж545нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +565;От -60 до +60;УХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Редукторный;200;250;Коррозионностойкая сталь;645;По запросу;1385500;Под заказ
Задвижка клиновая с выдвижным шпинделем фланцевая с редуктором 31нж545нж DN 250 PN 25,0 МПа УХЛ1, корпус ст. 08Х18Н10, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31нж545нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +565;От -60 до +60;УХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Редукторный;250;250;Коррозионностойкая сталь;950;По запросу;1558550;Под заказ
Задвижка клиновая с выдвижным шпинделем фланцевая под электропривод 31нж945нж DN 50 PN 25,0 МПа УХЛ1, корпус ст. 08Х18Н10, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31нж945нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +565;От -60 до +60;УХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Под электропривод;50;250;Коррозионностойкая сталь;35,5;По запросу;161270;Под заказ
Задвижка клиновая с выдвижным шпинделем фланцевая под электропривод 31нж945нж DN 80 PN 25,0 МПа УХЛ1, корпус ст. 08Х18Н10, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31нж945нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +565;От -60 до +60;УХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Под электропривод;80;250;Коррозионностойкая сталь;88;По запросу;256410;Под заказ
Задвижка клиновая с выдвижным шпинделем фланцевая под электропривод 31нж945нж DN 100 PN 25,0 МПа УХЛ1, корпус ст. 08Х18Н10, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31нж945нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +565;От -60 до +60;УХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Под электропривод;100;250;Коррозионностойкая сталь;94,5;По запросу;341450;Под заказ
Задвижка клиновая с выдвижным шпинделем фланцевая под электропривод 31нж945нж DN 150 PN 25,0 МПа УХЛ1, корпус ст. 08Х18Н10, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31нж945нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +565;От -60 до +60;УХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Под электропривод;150;250;Коррозионностойкая сталь;350;По запросу;963860;Под заказ
Задвижка клиновая с выдвижным шпинделем фланцевая под электропривод 31нж945нж DN 200 PN 25,0 МПа УХЛ1, корпус ст. 08Х18Н10, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31нж945нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +565;От -60 до +60;УХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Под электропривод;200;250;Коррозионностойкая сталь;645;По запросу;1269080;Под заказ
Задвижка клиновая с выдвижным шпинделем фланцевая под электропривод 31нж945нж DN 250 PN 25,0 МПа УХЛ1, корпус ст. 08Х18Н10, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31нж945нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +565;От -60 до +60;УХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Под электропривод;250;250;Коррозионностойкая сталь;950;По запросу;1466480;Под заказ
Задвижка клиновая литая с выдвижным шпинделем фланцевая ручная 30нж41нж1 DN 50 PN 1,6 МПа УХЛ1, корпус ст. 08Х18Н9М2ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;30нж41нж1;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +565;От -60 до +60;ХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Ручной;50;16;Коррозионностойкая сталь;5,8;По запросу;73390;Под заказ
Задвижка клиновая литая с выдвижным шпинделем фланцевая ручная 30нж41нж1 DN 80 PN 1,6 МПа УХЛ1, корпус ст. 08Х18Н9М2ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;30нж41нж1;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +565;От -60 до +60;УХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Ручной;80;16;Коррозионностойкая сталь;8,5;По запросу;126540;Под заказ
Задвижка клиновая литая с выдвижным шпинделем фланцевая ручная 30нж41нж1 DN 100 PN 1,6 МПа УХЛ1, корпус ст. 08Х18Н9М2ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;30нж41нж1;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +565;От -60 до +60;УХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Ручной;100;16;Коррозионностойкая сталь;9,5;По запросу;161390;Под заказ
Задвижка клиновая литая с выдвижным шпинделем фланцевая ручная 30нж41нж1 DN 125 PN 1,6 МПа УХЛ1, корпус ст. 08Х18Н9М2ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;30нж41нж1;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +565;От -60 до +60;УХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Ручной;125;16;Коррозионностойкая сталь;11;По запросу;248160;Под заказ
Задвижка клиновая литая с выдвижным шпинделем фланцевая ручная 30нж41нж1 DN 150 PN 1,6 МПа УХЛ1, корпус ст. 08Х18Н9М2ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;30нж41нж1;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +565;От -60 до +60;УХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Ручной;150;16;Коррозионностойкая сталь;17;По запросу;307290;Под заказ
Задвижка клиновая литая с выдвижным шпинделем фланцевая ручная 30нж41нж1 DN 200 PN 1,6 МПа УХЛ1, корпус ст. 08Х18Н9М2ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;30нж41нж1;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +565;От -60 до +60;УХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Ручной;200;16;Коррозионностойкая сталь;22;По запросу;523770;Под заказ
Задвижка клиновая литая с выдвижным шпинделем фланцевая ручная 30нж41нж1 DN 250 PN 1,6 МПа УХЛ1, корпус ст. 08Х18Н9М2ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;30нж41нж1;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +565;От -60 до +60;УХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Ручной;250;16;Коррозионностойкая сталь;34;По запросу;714030;Под заказ
Задвижка клиновая литая с выдвижным шпинделем фланцевая ручная 30нж41нж1 DN 300 PN 1,6 МПа УХЛ1, корпус ст. 08Х18Н9М2ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;30нж41нж1;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +565;От -60 до +60;УХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Ручной;300;16;Коррозионностойкая сталь;62;По запросу;958490;Под заказ
Задвижка клиновая литая с выдвижным шпинделем фланцевая ручная 30нж41нж1 DN 350 PN 1,6 МПа УХЛ1, корпус ст. 08Х18Н9М2ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;30нж41нж1;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +565;От -60 до +60;УХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Ручной;350;16;Коррозионностойкая сталь;83;По запросу;2759830;Под заказ
Задвижка клиновая литая с выдвижным шпинделем фланцевая ручная 30нж41нж1 DN 400 PN 1,6 МПа УХЛ1, корпус ст. 08Х18Н9М2ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;30нж41нж1;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +565;От -60 до +60;УХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Ручной;400;16;Коррозионностойкая сталь;146;По запросу;2935080;Под заказ
Задвижка клиновая литая с выдвижным шпинделем фланцевая с редуктором 30нж541нж1 DN 400 PN 1,6 МПа УХЛ1, корпус ст. 08Х18Н9М2ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;30нж541нж1;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +565;От -60 до +60;УХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Редукторный;400;16;Коррозионностойкая сталь;170;По запросу;3062290;Под заказ
Задвижка клиновая литая с выдвижным шпинделем фланцевая с редуктором 30нж541нж1 DN 500 PN 1,6 МПа УХЛ1, корпус ст. 08Х18Н9М2ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;30нж541нж1;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +565;От -60 до +60;УХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Редукторный;500;16;Коррозионностойкая сталь;180;По запросу;4226680;Под заказ
Задвижка клиновая литая с выдвижным шпинделем фланцевая с редуктором 30нж541нж1 DN 600 PN 1,6 МПа УХЛ1, корпус ст. 08Х18Н9М2ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;30нж541нж1;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +565;От -60 до +60;УХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Редукторный;600;16;Коррозионностойкая сталь;350;По запросу;7145290;Под заказ
Задвижка клиновая литая с выдвижным шпинделем фланцевая с редуктором 30нж541нж1 DN 700 PN 1,6 МПа УХЛ1, корпус ст. 08Х18Н9М2ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;30нж541нж1;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +565;От -60 до +60;УХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Редукторный;700;16;Коррозионностойкая сталь;1980;По запросу;9455300;Под заказ
Задвижка клиновая литая с выдвижным шпинделем фланцевая с редуктором 30нж541нж1 DN 800 PN 1,6 МПа УХЛ1, корпус ст. 08Х18Н9М2ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;30нж541нж1;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +565;От -60 до +60;УХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Редукторный;800;16;Коррозионностойкая сталь;2120;По запросу;11700400;Под заказ
Задвижка клиновая литая с выдвижным шпинделем фланцевая с редуктором 30нж541нж1 DN 1000 PN 1,6 МПа УХЛ1, корпус ст. 08Х18Н9М2ТЛ, класс герметичности «С» по ГОСТ 9544-2015;Задвижки;Россия;30нж541нж1;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +565;От -60 до +60;УХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Редукторный;1000;16;Коррозионностойкая сталь;4000;По запросу;15821190;Под заказ
Задвижка клиновая литая с выдвижным шпинделем фланцевая с редуктором 30нж541нж1 DN 1200 PN 1,6 МПа УХЛ1, корпус ст. 08Х18Н9М2ТЛ, класс герметичности «С» по ГОСТ 9544-2015;Задвижки;Россия;30нж541нж1;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +565;От -60 до +60;УХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Редукторный;1200;16;Коррозионностойкая сталь;6700;По запросу;19919790;Под заказ
Задвижка клиновая литая с выдвижным шпинделем фланцевая под электропривод 30нж941нж1 DN 50 PN 1,6 МПа УХЛ1, корпус ст. 08Х18Н9М2ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;30нж941нж1;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +565;От -60 до +60;УХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Под электропривод;50;16;Коррозионностойкая сталь;17;По запросу;118270;Под заказ
Задвижка клиновая литая с выдвижным шпинделем фланцевая под электропривод 30нж941нж1 DN 80 PN 1,6 МПа УХЛ1, корпус ст. 08Х18Н9М2ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;30нж941нж1;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +565;От -60 до +60;УХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Под электропривод;80;16;Коррозионностойкая сталь;29;По запросу;172650;Под заказ
Задвижка клиновая литая с выдвижным шпинделем фланцевая под электропривод 30нж941нж1 DN 100 PN 1,6 МПа УХЛ1, корпус ст. 08Х18Н9М2ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;30нж941нж1;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +565;От -60 до +60;УХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Под электропривод;100;16;Коррозионностойкая сталь;39;По запросу;215420;Под заказ
Задвижка клиновая литая с выдвижным шпинделем фланцевая под электропривод 30нж941нж1 DN 125 PN 1,6 МПа УХЛ1, корпус ст. 08Х18Н9М2ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;30нж941нж1;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +565;От -60 до +60;УХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Под электропривод;125;16;Коррозионностойкая сталь;61;По запросу;315390;Под заказ
Задвижка клиновая литая с выдвижным шпинделем фланцевая под электропривод 30нж941нж1 DN 150 PN 1,6 МПа УХЛ1, корпус ст. 08Х18Н9М2ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;30нж941нж1;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +565;От -60 до +60;УХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Под электропривод;150;16;Коррозионностойкая сталь;83;По запросу;359740;Под заказ
Задвижка клиновая литая с выдвижным шпинделем фланцевая под электропривод 30нж941нж1 DN 200 PN 1,6 МПа УХЛ1, корпус ст. 08Х18Н9М2ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;30нж941нж1;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +565;От -60 до +60;УХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Под электропривод;200;16;Коррозионностойкая сталь;124;По запросу;645390;Под заказ
Задвижка клиновая литая с выдвижным шпинделем фланцевая под электропривод 30нж941нж1 DN 250 PN 1,6 МПа УХЛ1, корпус ст. 08Х18Н9М2ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;30нж941нж1;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +565;От -60 до +60;УХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Под электропривод;250;16;Коррозионностойкая сталь;242;По запросу;1222140;Под заказ
Задвижка клиновая литая с выдвижным шпинделем фланцевая под электропривод 30нж941нж1 DN 300 PN 1,6 МПа УХЛ1, корпус ст. 08Х18Н9М2ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;30нж941нж1;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +565;От -60 до +60;УХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Под электропривод;300;16;Коррозионностойкая сталь;315;По запросу;1630640;Под заказ
Задвижка клиновая литая с выдвижным шпинделем фланцевая под электропривод 30нж941нж1 DN 350 PN 1,6 МПа УХЛ1, корпус ст. 08Х18Н9М2ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;30нж941нж1;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +565;От -60 до +60;УХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Под электропривод;350;16;Коррозионностойкая сталь;348;По запросу;2788470;Под заказ
Задвижка клиновая литая с выдвижным шпинделем фланцевая под электропривод 30нж941нж1 DN 400 PN 1,6 МПа УХЛ1, корпус ст. 08Х18Н9М2ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;30нж941нж1;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +565;От -60 до +60;УХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Под электропривод;400;16;Коррозионностойкая сталь;436;По запросу;2951250;Под заказ
Задвижка клиновая литая с выдвижным шпинделем фланцевая под электропривод 30нж941нж1 DN 500 PN 1,6 МПа УХЛ1, корпус ст. 08Х18Н9М2ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;30нж941нж1;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +565;От -60 до +60;УХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Под электропривод;500;16;Коррозионностойкая сталь;1024;По запросу;4060050;Под заказ
