Наименование;Раздел;Страна производитель;Таблица фигур;Рабочая среда;Температура рабочей среды, °С;Температура окружающего воздуха, °С;Климатическое исполнение;Класс герметичности;Приемка;Назначенный срок службы, лет;Назначенный ресурс, циклов;Наработка на отказ, циклов;Гарантия;Герметизация подвижного соединения;Тип присоединения;Тип привода;Диаметр DN, мм;Давление PN, кгс/см²;Материал корпуса;Масса, кг, не более;Цена закупки;Цена без НДС;Срок изготовления
Клапан запорный сальниковый муфтовый ручной 15с68нж DN 50 PN 6,3 МПа У1, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15с68нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, газоконденсат, вода, пар, аммиак, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;От -40 до +425;От -40 до +45;У1;А;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Муфтовое;Ручной;50;63;Углеродистая сталь;7,5;По запросу;17900;Под заказ
Клапан запорный сальниковый муфтовый ручной 15с68нж DN 15 PN 10,0 МПа У1, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15с68нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, газоконденсат, вода, пар, аммиак, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;От -40 до +425;От -40 до +45;У1;А;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Муфтовое;Ручной;15;100;Углеродистая сталь;0,9;По запросу;4300;Под заказ
Клапан запорный сальниковый муфтовый ручной 15с68нж DN 20 PN 10,0 МПа У1, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15с68нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, газоконденсат, вода, пар, аммиак, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;От -40 до +425;От -40 до +45;У1;А;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Муфтовое;Ручной;20;100;Углеродистая сталь;1,9;По запросу;4700;Под заказ
Клапан запорный сальниковый муфтовый ручной 15с68нж DN 25 PN 10,0 МПа У1, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15с68нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, газоконденсат, вода, пар, аммиак, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;От -40 до +425;От -40 до +45;У1;А;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Муфтовое;Ручной;25;100;Углеродистая сталь;2,2;По запросу;5100;Под заказ
Клапан запорный сальниковый муфтовый ручной 15с68нж DN 32 PN 10,0 МПа У1, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15с68нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, газоконденсат, вода, пар, аммиак, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;От -40 до +425;От -40 до +45;У1;А;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Муфтовое;Ручной;32;100;Углеродистая сталь;3,3;По запросу;15300;Под заказ
Клапан запорный сальниковый муфтовый ручной 15с68нж DN 40 PN 10,0 МПа У1, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15с68нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, газоконденсат, вода, пар, аммиак, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;От -40 до +425;От -40 до +45;У1;А;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Муфтовое;Ручной;40;100;Углеродистая сталь;5,8;По запросу;16100;Под заказ
Клапан запорный сальниковый муфтовый ручной 15с68нж DN 50 PN 10,0 МПа У1, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15с68нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, газоконденсат, вода, пар, аммиак, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;От -40 до +425;От -40 до +45;У1;А;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Муфтовое;Ручной;50;100;Углеродистая сталь;7,5;По запросу;17900;Под заказ
Клапан запорный сальниковый муфтовый ручной 15с68нж DN 15 PN 16,0 МПа У1, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15с68нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, газоконденсат, вода, пар, аммиак, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;От -40 до +425;От -40 до +45;У1;А;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Муфтовое;Ручной;15;160;Углеродистая сталь;0,9;По запросу;4300;Под заказ
Клапан запорный сальниковый муфтовый ручной 15с68нж DN 20 PN 16,0 МПа У1, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15с68нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, газоконденсат, вода, пар, аммиак, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;От -40 до +425;От -40 до +45;У1;А;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Муфтовое;Ручной;20;160;Углеродистая сталь;1,9;По запросу;4700;Под заказ
Клапан запорный сальниковый муфтовый ручной 15с68нж DN 25 PN 16,0 МПа У1, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15с68нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, газоконденсат, вода, пар, аммиак, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;От -40 до +425;От -40 до +45;У1;А;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Муфтовое;Ручной;25;160;Углеродистая сталь;2,2;По запросу;5100;Под заказ
Клапан запорный сальниковый муфтовый ручной 15с68нж DN 32 PN 16,0 МПа У1, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15с68нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, газоконденсат, вода, пар, аммиак, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;От -40 до +425;От -40 до +45;У1;А;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Муфтовое;Ручной;32;160;Углеродистая сталь;3,3;По запросу;15300;Под заказ
Клапан запорный сальниковый муфтовый ручной 15с68нж DN 40 PN 16,0 МПа У1, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15с68нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, газоконденсат, вода, пар, аммиак, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;От -40 до +425;От -40 до +45;У1;А;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Муфтовое;Ручной;40;160;Углеродистая сталь;5,8;По запросу;16100;Под заказ
Клапан запорный сальниковый муфтовый ручной 15с68нж DN 50 PN 16,0 МПа У1, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15с68нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, газоконденсат, вода, пар, аммиак, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;От -40 до +425;От -40 до +45;У1;А;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Муфтовое;Ручной;50;160;Углеродистая сталь;7,5;По запросу;17900;Под заказ
Клапан запорный сальниковый муфтовый ручной 15с68нж DN 15 PN 25,0 МПа У1, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15с68нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, газоконденсат, вода, пар, аммиак, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;От -40 до +425;От -40 до +45;У1;А;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Муфтовое;Ручной;15;250;Углеродистая сталь;0,9;По запросу;5600;Под заказ
Клапан запорный сальниковый муфтовый ручной 15с68нж DN 20 PN 25,0 МПа У1, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15с68нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, газоконденсат, вода, пар, аммиак, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;От -40 до +425;От -40 до +45;У1;А;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Муфтовое;Ручной;20;250;Углеродистая сталь;1,9;По запросу;6000;Под заказ
Клапан запорный сальниковый муфтовый ручной 15с68нж DN 25 PN 25,0 МПа У1, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15с68нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, газоконденсат, вода, пар, аммиак, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;От -40 до +425;От -40 до +45;У1;А;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Муфтовое;Ручной;25;250;Углеродистая сталь;2,2;По запросу;6400;Под заказ
Клапан запорный сальниковый муфтовый ручной 15с68нж DN 32 PN 25,0 МПа У1, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15с68нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, газоконденсат, вода, пар, аммиак, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;От -40 до +425;От -40 до +45;У1;А;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Муфтовое;Ручной;32;250;Углеродистая сталь;3,3;По запросу;15900;Под заказ
Клапан запорный сальниковый муфтовый ручной 15с68нж DN 40 PN 25,0 МПа У1, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15с68нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, газоконденсат, вода, пар, аммиак, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;От -40 до +425;От -40 до +45;У1;А;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Муфтовое;Ручной;40;250;Углеродистая сталь;5,8;По запросу;16700;Под заказ
Клапан запорный сальниковый муфтовый ручной 15с68нж DN 50 PN 25,0 МПа У1, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15с68нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, газоконденсат, вода, пар, аммиак, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;От -40 до +425;От -40 до +45;У1;А;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Муфтовое;Ручной;50;250;Углеродистая сталь;7,5;По запросу;21500;Под заказ
Клапан запорный сальниковый муфтовый ручной 15с68нж DN 15 PN 40,0 МПа У1, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15с68нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, газоконденсат, вода, пар, аммиак, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;От -40 до +425;От -40 до +45;У1;А;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Муфтовое;Ручной;15;400;Углеродистая сталь;0,9;По запросу;4500;Под заказ
Клапан запорный сальниковый муфтовый ручной 15с68нж DN 20 PN 40,0 МПа У1, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15с68нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, газоконденсат, вода, пар, аммиак, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;От -40 до +425;От -40 до +45;У1;А;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Муфтовое;Ручной;20;400;Углеродистая сталь;1,9;По запросу;5400;Под заказ
Клапан запорный сальниковый муфтовый ручной 15с68нж DN 25 PN 40,0 МПа У1, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15с68нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, газоконденсат, вода, пар, аммиак, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;От -40 до +425;От -40 до +45;У1;А;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Муфтовое;Ручной;25;400;Углеродистая сталь;2,2;По запросу;5600;Под заказ
Клапан запорный сальниковый муфтовый ручной 15с68нж DN 32 PN 40,0 МПа У1, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15с68нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, газоконденсат, вода, пар, аммиак, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;От -40 до +425;От -40 до +45;У1;А;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Муфтовое;Ручной;32;400;Углеродистая сталь;3,3;По запросу;16400;Под заказ
Клапан запорный сальниковый муфтовый ручной 15с68нж DN 40 PN 40,0 МПа У1, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15с68нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, газоконденсат, вода, пар, аммиак, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;От -40 до +425;От -40 до +45;У1;А;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Муфтовое;Ручной;40;400;Углеродистая сталь;5,8;По запросу;17000;Под заказ
Клапан запорный сальниковый муфтовый ручной 15с68нж DN 50 PN 40,0 МПа У1, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15с68нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, газоконденсат, вода, пар, аммиак, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;От -40 до +425;От -40 до +45;У1;А;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Муфтовое;Ручной;50;400;Углеродистая сталь;7,5;По запросу;21900;Под заказ
Клапан запорный сальниковый муфтовый ручной 15лс68нж DN 15 PN 1,6 МПа ХЛ1, корпус ст. 09Г2С, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15лс68нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, газоконденсат, вода, пар, аммиак, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;От -60 до +425;От -60 до +60;ХЛ1;А;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Муфтовое;Ручной;15;16;Хладостойкая сталь;0,9;По запросу;4700;Под заказ
Клапан запорный сальниковый муфтовый ручной 15лс68нж DN 20 PN 1,6 МПа ХЛ1, корпус ст. 09Г2С, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15лс68нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, газоконденсат, вода, пар, аммиак, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;От -60 до +425;От -60 до +60;ХЛ1;А;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Муфтовое;Ручной;20;16;Хладостойкая сталь;1,9;По запросу;5900;Под заказ
Клапан запорный сальниковый муфтовый ручной 15лс68нж DN 25 PN 1,6 МПа ХЛ1, корпус ст. 09Г2С, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15лс68нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, газоконденсат, вода, пар, аммиак, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;От -60 до +425;От -60 до +60;ХЛ1;А;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Муфтовое;Ручной;25;16;Хладостойкая сталь;2,2;По запросу;5700;Под заказ
Клапан запорный сальниковый муфтовый ручной 15лс68нж DN 32 PN 1,6 МПа ХЛ1, корпус ст. 09Г2С, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15лс68нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, газоконденсат, вода, пар, аммиак, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;От -60 до +425;От -60 до +60;ХЛ1;А;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Муфтовое;Ручной;32;16;Хладостойкая сталь;3,3;По запросу;17700;Под заказ
Клапан запорный сальниковый муфтовый ручной 15лс68нж DN 40 PN 1,6 МПа ХЛ1, корпус ст. 09Г2С, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15лс68нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, газоконденсат, вода, пар, аммиак, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;От -60 до +425;От -60 до +60;ХЛ1;А;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Муфтовое;Ручной;40;16;Хладостойкая сталь;5,8;По запросу;18500;Под заказ
Клапан запорный сальниковый муфтовый ручной 15лс68нж DN 50 PN 1,6 МПа ХЛ1, корпус ст. 09Г2С, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15лс68нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, газоконденсат, вода, пар, аммиак, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;От -60 до +425;От -60 до +60;ХЛ1;А;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Муфтовое;Ручной;50;16;Хладостойкая сталь;7,5;По запросу;20600;Под заказ
Клапан запорный сальниковый муфтовый ручной 15лс68нж DN 15 PN 2,5 МПа ХЛ1, корпус ст. 09Г2С, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15лс68нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, газоконденсат, вода, пар, аммиак, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;От -60 до +425;От -60 до +60;ХЛ1;А;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Муфтовое;Ручной;15;25;Хладостойкая сталь;0,9;По запросу;4500;Под заказ
Клапан запорный сальниковый муфтовый ручной 15лс68нж DN 20 PN 2,5 МПа ХЛ1, корпус ст. 09Г2С, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15лс68нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, газоконденсат, вода, пар, аммиак, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;От -60 до +425;От -60 до +60;ХЛ1;А;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Муфтовое;Ручной;20;25;Хладостойкая сталь;1,9;По запросу;4900;Под заказ
Клапан запорный сальниковый муфтовый ручной 15лс68нж DN 25 PN 2,5 МПа ХЛ1, корпус ст. 09Г2С, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15лс68нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, газоконденсат, вода, пар, аммиак, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;От -60 до +425;От -60 до +60;ХЛ1;А;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Муфтовое;Ручной;25;25;Хладостойкая сталь;2,2;По запросу;5300;Под заказ
Клапан запорный сальниковый муфтовый ручной 15лс68нж DN 32 PN 2,5 МПа ХЛ1, корпус ст. 09Г2С, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15лс68нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, газоконденсат, вода, пар, аммиак, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;От -60 до +425;От -60 до +60;ХЛ1;А;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Муфтовое;Ручной;32;25;Хладостойкая сталь;3,3;По запросу;17700;Под заказ
Клапан запорный сальниковый муфтовый ручной 15лс68нж DN 40 PN 2,5 МПа ХЛ1, корпус ст. 09Г2С, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15лс68нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, газоконденсат, вода, пар, аммиак, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;От -60 до +425;От -60 до +60;ХЛ1;А;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Муфтовое;Ручной;40;25;Хладостойкая сталь;5,8;По запросу;18500;Под заказ
Клапан запорный сальниковый муфтовый ручной 15лс68нж DN 50 PN 2,5 МПа ХЛ1, корпус ст. 09Г2С, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15лс68нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, газоконденсат, вода, пар, аммиак, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;От -60 до +425;От -60 до +60;ХЛ1;А;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Муфтовое;Ручной;50;25;Хладостойкая сталь;7,5;По запросу;20600;Под заказ
Клапан запорный сальниковый муфтовый ручной 15лс68нж DN 15 PN 4,0 МПа ХЛ1, корпус ст. 09Г2С, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15лс68нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, газоконденсат, вода, пар, аммиак, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;От -60 до +425;От -60 до +60;ХЛ1;А;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Муфтовое;Ручной;15;40;Хладостойкая сталь;0,9;По запросу;4500;Под заказ
Клапан запорный сальниковый муфтовый ручной 15лс68нж DN 20 PN 4,0 МПа ХЛ1, корпус ст. 09Г2С, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15лс68нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, газоконденсат, вода, пар, аммиак, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;От -60 до +425;От -60 до +60;ХЛ1;А;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Муфтовое;Ручной;20;40;Хладостойкая сталь;1,9;По запросу;4900;Под заказ
Клапан запорный сальниковый муфтовый ручной 15лс68нж DN 25 PN 4,0 МПа ХЛ1, корпус ст. 09Г2С, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15лс68нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, газоконденсат, вода, пар, аммиак, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;От -60 до +425;От -60 до +60;ХЛ1;А;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Муфтовое;Ручной;25;40;Хладостойкая сталь;2,2;По запросу;5300;Под заказ
