Наименование;Раздел;Таблица фигур;Рабочая среда;Условная пропускная способность Kvy, м³/ч;Температура рабочей среды, °С;Температура окружающего воздуха, °С;Климатическое исполнение;Класс герметичности;Приемка;Назначенный срок службы, лет;Назначенный ресурс, циклов;Наработка на отказ, циклов;Гарантия;Конструктивный тип;Принцип устройства;Тип присоединения;Диаметр DN, мм;Давление PN, кгс/см²;Материал корпуса;Масса, кг, не более;Цена закупки;Цена без НДС;Срок изготовления
Клапан регулирующий односедельный фланцевый 25ч945п DN 65 PN 1,6 МПа У3 (Kvy - 100? м³/ч) с ЭИМ, корпус чугун;Клапаны регулирующие;25ч945п;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, мазут и другие жидкие нефтепродукты, масляные фракции и другие среды);"25; 40; 63; 100";От -15 до +150;От -15 до +50;У3;А;ОТК;10;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Односедельный;;Фланцевое;65;16;Чугун;33;По запросу;85660;Под заказ
Клапан регулирующий односедельный фланцевый 25ч945п DN 80 PN 1,6 МПа У3 (Kvy - 160? м³/ч) с ЭИМ, корпус чугун;Клапаны регулирующие;25ч945п;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, мазут и другие жидкие нефтепродукты, масляные фракции и другие среды);"40; 63; 100; 160";От -15 до +150;От -15 до +50;У3;А;ОТК;10;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Односедельный;;Фланцевое;80;16;Чугун;36;По запросу;93520;Под заказ
Клапан регулирующий односедельный фланцевый 25ч945п DN 100 PN 1,6 МПа У3 (Kvy - 250? м³/ч) с ЭИМ, корпус чугун;Клапаны регулирующие;25ч945п;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, мазут и другие жидкие нефтепродукты, масляные фракции и другие среды);"63; 100; 160; 250";От -15 до +150;От -15 до +50;У3;А;ОТК;10;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Односедельный;;Фланцевое;100;16;Чугун;46;По запросу;113380;Под заказ
Клапан регулирующий односедельный фланцевый 25ч945п DN 125 PN 1,6 МПа У3 (Kvy - 320? м³/ч) с ЭИМ, корпус чугун;Клапаны регулирующие;25ч945п;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, мазут и другие жидкие нефтепродукты, масляные фракции и другие среды);"100; 160; 250; 320";От -15 до +150;От -15 до +50;У3;А;ОТК;10;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Односедельный;;Фланцевое;125;16;Чугун;85;По запросу;191400;Под заказ
Клапан регулирующий односедельный фланцевый 25ч945п DN 150 PN 1,6 МПа У3 (Kvy - 400? м³/ч) с ЭИМ, корпус чугун;Клапаны регулирующие;25ч945п;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, мазут и другие жидкие нефтепродукты, масляные фракции и другие среды);"160; 250; 400";От -15 до +150;От -15 до +50;У3;А;ОТК;10;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Односедельный;;Фланцевое;150;16;Чугун;102;По запросу;235620;Под заказ
Клапан регулирующий односедельный фланцевый 25ч945п DN 200 PN 1,6 МПа У3 (Kvy - 630? м³/ч) с ЭИМ, корпус чугун;Клапаны регулирующие;25ч945п;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, мазут и другие жидкие нефтепродукты, масляные фракции и другие среды);"250; 400; 630";От -15 до +150;От -15 до +50;У3;А;ОТК;10;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Односедельный;;Фланцевое;200;16;Чугун;140;По запросу;300960;Под заказ
Клапан регулирующий односедельный фланцевый 25ч945п DN 250 PN 1,6 МПа У3 (Kvy - ? м³/ч) с ЭИМ, корпус чугун;Клапаны регулирующие;25ч945п;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, мазут и другие жидкие нефтепродукты, масляные фракции и другие среды);;От -15 до +150;От -15 до +50;У3;А;ОТК;10;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Односедельный;;Фланцевое;250;16;Чугун;200;По запросу;0;Под заказ
Клапан регулирующий односедельный фланцевый 25ч945п DN 300 PN 1,6 МПа У3 (Kvy - ? м³/ч) с ЭИМ, корпус чугун;Клапаны регулирующие;25ч945п;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, мазут и другие жидкие нефтепродукты, масляные фракции и другие среды);;От -15 до +150;От -15 до +50;У3;А;ОТК;10;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Односедельный;;Фланцевое;300;16;Чугун;315;По запросу;0;Под заказ
Клапан регулирующий односедельный фланцевый 25ч943нж DN 15 PN 1,6 МПа У3 (Kvy - 4,0? м³/ч) с ЭИМ, корпус чугун;Клапаны регулирующие;25ч943нж;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, мазут и другие жидкие нефтепродукты, масляные фракции и другие среды);"0,1; 0,16; 0,25; 0,4; 0,6; 1,0; 1,6; 2,5; 3,2; 4,0";От -15 до +300;От -15 до +50;У3;В;ОТК;10;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Односедельный;;Фланцевое;15;16;Чугун;17;По запросу;54780;Под заказ
Клапан регулирующий двухседельный фланцевый 25ч940нж DN 25 PN 1,6 МПа У3 (Kvy - 16? м³/ч) с ЭИМ, корпус чугун;Клапаны регулирующие;25ч940нж;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, мазут и другие жидкие нефтепродукты, масляные фракции и другие среды);"3,2; 4,0; 6,3; 8; 10; 12,5; 16";От -15 до +300;От -15 до +50;У3;В;ОТК;10;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Двухседельный;;Фланцевое;25;16;Чугун;15;По запросу;50050;Под заказ
