Наименование;Раздел;Таблица фигур;Рабочая среда;Температура рабочей среды, °С;Температура окружающего воздуха, °С;Климатическое исполнение;Приемка;Назначенный срок службы, лет;Назначенный ресурс, циклов;Наработка на отказ, циклов;Гарантия;Сетчатый фильтр;Тип присоединения;Диаметр DN, мм;Давление PN, кгс/см²;Материал корпуса;Масса, кг, не более;Цена закупки;Цена без НДС;Срок изготовления
Конденсатоотводчик термодинамический под приварку 45нж13нж DN 40 PN 4,0 МПа УХЛ1, корпус ст. 20Х13, патрубки ст. 12Х18Н10Т;Конденсатоотводчики;45нж13нж;Конденсат;От -60 до +300;От -60 до +45;УХЛ1;ОТК;10;80000;13000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Без фильтра;Под приварку;40;40;Коррозионностойкая сталь;5,1;По запросу;15360;15-20 рабочих дней
Конденсатоотводчик термодинамический под приварку 45нж13нж DN 50 PN 4,0 МПа УХЛ1, корпус ст. 20Х13, патрубки ст. 12Х18Н10Т;Конденсатоотводчики;45нж13нж;Конденсат;От -60 до +300;От -60 до +45;УХЛ1;ОТК;10;80000;13000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Без фильтра;Под приварку;50;40;Коррозионностойкая сталь;5,2;По запросу;20400;15-20 рабочих дней
Конденсатоотводчик термодинамический муфтовый 45нж13нж DN 15 PN 4,0 МПа УХЛ1, корпус ст. 20Х13, патрубки ст. 12Х18Н10Т;Конденсатоотводчики;45нж13нж;Конденсат;От -60 до +300;От -60 до +45;УХЛ1;ОТК;10;80000;13000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Без фильтра;Муфтовое;15;40;Коррозионностойкая сталь;1,2;По запросу;9600;15-20 рабочих дней
Конденсатоотводчик термодинамический муфтовый 45нж13нж DN 20 PN 4,0 МПа УХЛ1, корпус ст. 20Х13, патрубки ст. 12Х18Н10Т;Конденсатоотводчики;45нж13нж;Конденсат;От -60 до +300;От -60 до +45;УХЛ1;ОТК;10;80000;13000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Без фильтра;Муфтовое;20;40;Коррозионностойкая сталь;1,3;По запросу;12600;15-20 рабочих дней
Конденсатоотводчик термодинамический муфтовый 45нж13нж DN 25 PN 4,0 МПа УХЛ1, корпус ст. 20Х13, патрубки ст. 12Х18Н10Т;Конденсатоотводчики;45нж13нж;Конденсат;От -60 до +300;От -60 до +45;УХЛ1;ОТК;10;80000;13000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Без фильтра;Муфтовое;25;40;Коррозионностойкая сталь;1,4;По запросу;14400;15-20 рабочих дней
Конденсатоотводчик термодинамический муфтовый 45нж13нж DN 32 PN 4,0 МПа УХЛ1, корпус ст. 20Х13, патрубки ст. 12Х18Н10Т;Конденсатоотводчики;45нж13нж;Конденсат;От -60 до +300;От -60 до +45;УХЛ1;ОТК;10;80000;13000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Без фильтра;Муфтовое;32;40;Коррозионностойкая сталь;5;По запросу;15840;15-20 рабочих дней
Конденсатоотводчик термодинамический муфтовый 45нж13нж DN 40 PN 4,0 МПа УХЛ1, корпус ст. 20Х13, патрубки ст. 12Х18Н10Т;Конденсатоотводчики;45нж13нж;Конденсат;От -60 до +300;От -60 до +45;УХЛ1;ОТК;10;80000;13000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Без фильтра;Муфтовое;40;40;Коррозионностойкая сталь;5,1;По запросу;17640;15-20 рабочих дней
Конденсатоотводчик термодинамический муфтовый 45нж13нж DN 50 PN 4,0 МПа УХЛ1, корпус ст. 20Х13, патрубки ст. 12Х18Н10Т;Конденсатоотводчики;45нж13нж;Конденсат;От -60 до +300;От -60 до +45;УХЛ1;ОТК;10;80000;13000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Без фильтра;Муфтовое;50;40;Коррозионностойкая сталь;5,2;По запросу;22560;15-20 рабочих дней
Конденсатоотводчик термодинамический фланцевый 45нж13нж DN 15 PN 4,0 МПа УХЛ1, корпус ст. 20Х13, патрубки ст. 12Х18Н10Т;Конденсатоотводчики;45нж13нж;Конденсат;От -60 до +300;От -60 до +45;УХЛ1;ОТК;10;80000;13000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Без фильтра;Фланцевое;15;40;Коррозионностойкая сталь;1,4;По запросу;14040;15-20 рабочих дней
Конденсатоотводчик термодинамический фланцевый 45нж13нж DN 20 PN 4,0 МПа УХЛ1, корпус ст. 20Х13, патрубки ст. 12Х18Н10Т;Конденсатоотводчики;45нж13нж;Конденсат;От -60 до +300;От -60 до +45;УХЛ1;ОТК;10;80000;13000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Без фильтра;Фланцевое;20;40;Коррозионностойкая сталь;1,5;По запросу;17160;15-20 рабочих дней
Конденсатоотводчик термодинамический фланцевый 45нж13нж DN 25 PN 4,0 МПа УХЛ1, корпус ст. 20Х13, патрубки ст. 12Х18Н10Т;Конденсатоотводчики;45нж13нж;Конденсат;От -60 до +300;От -60 до +45;УХЛ1;ОТК;10;80000;13000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Без фильтра;Фланцевое;25;40;Коррозионностойкая сталь;1,6;По запросу;18960;15-20 рабочих дней
Конденсатоотводчик термодинамический фланцевый 45нж13нж DN 32 PN 4,0 МПа УХЛ1, корпус ст. 20Х13, патрубки ст. 12Х18Н10Т;Конденсатоотводчики;45нж13нж;Конденсат;От -60 до +300;От -60 до +45;УХЛ1;ОТК;10;80000;13000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Без фильтра;Фланцевое;32;40;Коррозионностойкая сталь;5,8;По запросу;20280;15-20 рабочих дней
Конденсатоотводчик термодинамический фланцевый 45нж13нж DN 40 PN 4,0 МПа УХЛ1, корпус ст. 20Х13, патрубки ст. 12Х18Н10Т;Конденсатоотводчики;45нж13нж;Конденсат;От -60 до +300;От -60 до +45;УХЛ1;ОТК;10;80000;13000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Без фильтра;Фланцевое;40;40;Коррозионностойкая сталь;5,9;По запросу;22080;15-20 рабочих дней
Конденсатоотводчик термодинамический фланцевый 45нж13нж DN 50 PN 4,0 МПа УХЛ1, корпус ст. 20Х13, патрубки ст. 12Х18Н10Т;Конденсатоотводчики;45нж13нж;Конденсат;От -60 до +300;От -60 до +45;УХЛ1;ОТК;10;80000;13000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Без фильтра;Фланцевое;50;40;Коррозионностойкая сталь;6,2;По запросу;27120;15-20 рабочих дней
Конденсатоотводчик термодинамический с фильтром сетчатым под приварку 45с13нж DN 15 PN 4,0 МПа У1, корпус ст. 20;Конденсатоотводчики;45с13нж;Конденсат;От -40 до +300;От -40 до +45;У1;ОТК;10;80000;13000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;С фильтром;Под приварку;15;40;Углеродистая сталь;1,4;По запросу;8360;15-20 рабочих дней
Конденсатоотводчик термодинамический с фильтром сетчатым под приварку 45с13нж DN 20 PN 4,0 МПа У1, корпус ст. 20;Конденсатоотводчики;45с13нж;Конденсат;От -40 до +300;От -40 до +45;У1;ОТК;10;80000;13000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;С фильтром;Под приварку;20;40;Углеродистая сталь;1,5;По запросу;9080;15-20 рабочих дней
Конденсатоотводчик термодинамический с фильтром сетчатым под приварку 45с13нж DN 25 PN 4,0 МПа У1, корпус ст. 20;Конденсатоотводчики;45с13нж;Конденсат;От -40 до +300;От -40 до +45;У1;ОТК;10;80000;13000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;С фильтром;Под приварку;25;40;Углеродистая сталь;1,6;По запросу;9200;15-20 рабочих дней
Конденсатоотводчик термодинамический с фильтром сетчатым под приварку 45с13нж DN 32 PN 4,0 МПа У1, корпус ст. 20;Конденсатоотводчики;45с13нж;Конденсат;От -40 до +300;От -40 до +45;У1;ОТК;10;80000;13000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;С фильтром;Под приварку;32;40;Углеродистая сталь;5,2;По запросу;13280;15-20 рабочих дней
Конденсатоотводчик термодинамический с фильтром сетчатым под приварку 45с13нж DN 40 PN 4,0 МПа У1, корпус ст. 20;Конденсатоотводчики;45с13нж;Конденсат;От -40 до +300;От -40 до +45;У1;ОТК;10;80000;13000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;С фильтром;Под приварку;40;40;Углеродистая сталь;5,3;По запросу;13880;15-20 рабочих дней
Конденсатоотводчик термодинамический с фильтром сетчатым под приварку 45с13нж DN 50 PN 4,0 МПа У1, корпус ст. 20;Конденсатоотводчики;45с13нж;Конденсат;От -40 до +300;От -40 до +45;У1;ОТК;10;80000;13000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;С фильтром;Под приварку;50;40;Углеродистая сталь;5,4;По запросу;15440;15-20 рабочих дней
Конденсатоотводчик термодинамический с фильтром сетчатым муфтовый 45с13нж DN 15 PN 4,0 МПа У1, корпус ст. 20;Конденсатоотводчики;45с13нж;Конденсат;От -40 до +300;От -40 до +45;У1;ОТК;10;80000;13000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;С фильтром;Муфтовое;15;40;Углеродистая сталь;1,4;По запросу;9440;15-20 рабочих дней
Конденсатоотводчик термодинамический с фильтром сетчатым муфтовый 45с13нж DN 20 PN 4,0 МПа У1, корпус ст. 20;Конденсатоотводчики;45с13нж;Конденсат;От -40 до +300;От -40 до +45;У1;ОТК;10;80000;13000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;С фильтром;Муфтовое;20;40;Углеродистая сталь;1,5;По запросу;10160;15-20 рабочих дней
Конденсатоотводчик термодинамический с фильтром сетчатым муфтовый 45с13нж DN 25 PN 4,0 МПа У1, корпус ст. 20;Конденсатоотводчики;45с13нж;Конденсат;От -40 до +300;От -40 до +45;У1;ОТК;10;80000;13000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;С фильтром;Муфтовое;25;40;Углеродистая сталь;1,6;По запросу;10400;15-20 рабочих дней
Конденсатоотводчик термодинамический с фильтром сетчатым муфтовый 45с13нж DN 32 PN 4,0 МПа У1, корпус ст. 20;Конденсатоотводчики;45с13нж;Конденсат;От -40 до +300;От -40 до +45;У1;ОТК;10;80000;13000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;С фильтром;Муфтовое;32;40;Углеродистая сталь;5,2;По запросу;14360;15-20 рабочих дней
Конденсатоотводчик термодинамический с фильтром сетчатым муфтовый 45с13нж DN 40 PN 4,0 МПа У1, корпус ст. 20;Конденсатоотводчики;45с13нж;Конденсат;От -40 до +300;От -40 до +45;У1;ОТК;10;80000;13000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;С фильтром;Муфтовое;40;40;Углеродистая сталь;5,3;По запросу;14960;15-20 рабочих дней
Конденсатоотводчик термодинамический с фильтром сетчатым муфтовый 45с13нж DN 50 PN 4,0 МПа У1, корпус ст. 20;Конденсатоотводчики;45с13нж;Конденсат;От -40 до +300;От -40 до +45;У1;ОТК;10;80000;13000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;С фильтром;Муфтовое;50;40;Углеродистая сталь;5,4;По запросу;16520;15-20 рабочих дней
Конденсатоотводчик термодинамический с фильтром сетчатым фланцевый 45с13нж DN 15 PN 4,0 МПа У1, корпус ст. 20;Конденсатоотводчики;45с13нж;Конденсат;От -40 до +300;От -40 до +45;У1;ОТК;10;80000;13000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;С фильтром;Фланцевое;15;40;Углеродистая сталь;1,6;По запросу;11720;15-20 рабочих дней
Конденсатоотводчик термодинамический с фильтром сетчатым фланцевый 45с13нж DN 20 PN 4,0 МПа У1, корпус ст. 20;Конденсатоотводчики;45с13нж;Конденсат;От -40 до +300;От -40 до +45;У1;ОТК;10;80000;13000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;С фильтром;Фланцевое;20;40;Углеродистая сталь;1,7;По запросу;12440;15-20 рабочих дней
