Наименование;Раздел;Страна производитель;Таблица фигур;Рабочая среда;Температура рабочей среды, °С;Температура окружающего воздуха, °С;Климатическое исполнение;Приемка;Назначенный срок службы, лет;Назначенный ресурс, циклов;Наработка на отказ, циклов;Гарантия;Конструктивный тип;Тип присоединения;Диаметр DN, мм;Давление PN, кгс/см²;Материал корпуса;Масса, кг, не более;Цена закупки;Цена без НДС;Срок изготовления
Клапан обратный пружинный фланцевый 16нж82п1 DN 50 PN 4,0 МПа УХЛ1, корпус ст. 10Х17Н13М2ТЛ;Клапаны обратные;Россия;16нж82п1;Жидкие и газообразные среды, в том числе хлорсодержащие с содержанием влаги в хлоре не более 0,04%, по отношению к которым применяемые материалы коррозионностойки;От -60 до +200;От -60 до +60;УХЛ1;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Пружинный;Фланцевое;50;40;Коррозионностойкая сталь;12,6;По запросу;0;Под заказ
Клапан обратный пружинный фланцевый 16нж82п1 DN 65 PN 4,0 МПа УХЛ1, корпус ст. 10Х17Н13М2ТЛ;Клапаны обратные;Россия;16нж82п1;Жидкие и газообразные среды, в том числе хлорсодержащие с содержанием влаги в хлоре не более 0,04%, по отношению к которым применяемые материалы коррозионностойки;От -60 до +200;От -60 до +60;УХЛ1;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Пружинный;Фланцевое;65;40;Коррозионностойкая сталь;22;По запросу;0;Под заказ
Клапан обратный пружинный фланцевый 16нж82п1 DN 80 PN 4,0 МПа УХЛ1, корпус ст. 10Х17Н13М2ТЛ;Клапаны обратные;Россия;16нж82п1;Жидкие и газообразные среды, в том числе хлорсодержащие с содержанием влаги в хлоре не более 0,04%, по отношению к которым применяемые материалы коррозионностойки;От -60 до +200;От -60 до +60;УХЛ1;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Пружинный;Фланцевое;80;40;Коррозионностойкая сталь;30;По запросу;0;Под заказ
Клапан обратный пружинный фланцевый 16нж82п1 DN 100 PN 4,0 МПа УХЛ1, корпус ст. 10Х17Н13М2ТЛ;Клапаны обратные;Россия;16нж82п1;Жидкие и газообразные среды, в том числе хлорсодержащие с содержанием влаги в хлоре не более 0,04%, по отношению к которым применяемые материалы коррозионностойки;От -60 до +200;От -60 до +60;УХЛ1;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Пружинный;Фланцевое;100;40;Коррозионностойкая сталь;41;По запросу;0;Под заказ
Клапан обратный пружинный фланцевый 16нж82п1 DN 125 PN 4,0 МПа УХЛ1, корпус ст. 10Х17Н13М2ТЛ;Клапаны обратные;Россия;16нж82п1;Жидкие и газообразные среды, в том числе хлорсодержащие с содержанием влаги в хлоре не более 0,04%, по отношению к которым применяемые материалы коррозионностойки;От -60 до +200;От -60 до +60;УХЛ1;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Пружинный;Фланцевое;125;40;Коррозионностойкая сталь;60;По запросу;0;Под заказ
Клапан обратный пружинный фланцевый 16нж82п1 DN 150 PN 4,0 МПа УХЛ1, корпус ст. 10Х17Н13М2ТЛ;Клапаны обратные;Россия;16нж82п1;Жидкие и газообразные среды, в том числе хлорсодержащие с содержанием влаги в хлоре не более 0,04%, по отношению к которым применяемые материалы коррозионностойки;От -60 до +200;От -60 до +60;УХЛ1;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Пружинный;Фланцевое;150;40;Коррозионностойкая сталь;88;По запросу;0;Под заказ
Клапан обратный подъемный муфтовый 16с48нж DN 15 PN 1,6 МПа У1, корпус ст. 20, класс герметичности «В» по ГОСТ 9544-2015;Клапаны обратные;Россия;16с48нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, природный газ, газоконденсат, вода, пар, аммиак, сухой и влажный хлор, агрессивные водородные и сероводородные с содержанием H2S и CO2 не более 6%*, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, скорость коррозии корпусных деталей не более 0,2 мм/год;От -60 до +425;От -60 до +60;У1;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Подъемный;Муфтовое;15;16;Углеродистая сталь;0,9;По запросу;4200;Под заказ
Клапан обратный подъемный муфтовый 16с48нж DN 20 PN 1,6 МПа У1, корпус ст. 20, класс герметичности «В» по ГОСТ 9544-2015;Клапаны обратные;Россия;16с48нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, газоконденсат, вода, пар, аммиак, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;От -40 до +425;От -40 до +40;У1;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Подъемный;Муфтовое;20;16;Углеродистая сталь;1,9;По запросу;4600;Под заказ
Клапан обратный подъемный муфтовый 16с48нж DN 25 PN 1,6 МПа У1, корпус ст. 20, класс герметичности «В» по ГОСТ 9544-2015;Клапаны обратные;Россия;16с48нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, газоконденсат, вода, пар, аммиак, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;От -40 до +425;От -40 до +40;У1;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Подъемный;Муфтовое;25;16;Углеродистая сталь;2,2;По запросу;5200;Под заказ
Клапан обратный подъемный муфтовый 16с48нж DN 32 PN 1,6 МПа У1, корпус ст. 20, класс герметичности «В» по ГОСТ 9544-2015;Клапаны обратные;Россия;16с48нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, газоконденсат, вода, пар, аммиак, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;От -40 до +425;От -40 до +40;У1;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Подъемный;Муфтовое;32;16;Углеродистая сталь;3,3;По запросу;14700;Под заказ
Клапан обратный подъемный муфтовый 16с48нж DN 40 PN 1,6 МПа У1, корпус ст. 20, класс герметичности «В» по ГОСТ 9544-2015;Клапаны обратные;Россия;16с48нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, газоконденсат, вода, пар, аммиак, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;От -40 до +425;От -40 до +40;У1;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Подъемный;Муфтовое;40;16;Углеродистая сталь;5,8;По запросу;15500;Под заказ
Клапан обратный подъемный муфтовый 16с48нж DN 50 PN 1,6 МПа У1, корпус ст. 20, класс герметичности «В» по ГОСТ 9544-2015;Клапаны обратные;Россия;16с48нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, газоконденсат, вода, пар, аммиак, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;От -40 до +425;От -40 до +40;У1;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Подъемный;Муфтовое;50;16;Углеродистая сталь;7,5;По запросу;17300;Под заказ
Клапан обратный подъемный муфтовый 16с48нж DN 15 PN 2,5 МПа У1, корпус ст. 20, класс герметичности «В» по ГОСТ 9544-2015;Клапаны обратные;Россия;16с48нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, газоконденсат, вода, пар, аммиак, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;От -40 до +425;От -40 до +40;У1;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Подъемный;Муфтовое;15;25;Углеродистая сталь;0,9;По запросу;4200;Под заказ
Клапан обратный подъемный муфтовый 16с48нж DN 20 PN 2,5 МПа У1, корпус ст. 20, класс герметичности «В» по ГОСТ 9544-2015;Клапаны обратные;Россия;16с48нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, газоконденсат, вода, пар, аммиак, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;От -40 до +425;От -40 до +40;У1;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Подъемный;Муфтовое;20;25;Углеродистая сталь;1,9;По запросу;4600;Под заказ
Клапан обратный подъемный муфтовый 16с48нж DN 25 PN 2,5 МПа У1, корпус ст. 20, класс герметичности «В» по ГОСТ 9544-2015;Клапаны обратные;Россия;16с48нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, газоконденсат, вода, пар, аммиак, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;От -40 до +425;От -40 до +40;У1;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Подъемный;Муфтовое;25;25;Углеродистая сталь;2,2;По запросу;5200;Под заказ
Клапан обратный подъемный муфтовый 16с48нж DN 32 PN 2,5 МПа У1, корпус ст. 20, класс герметичности «В» по ГОСТ 9544-2015;Клапаны обратные;Россия;16с48нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, газоконденсат, вода, пар, аммиак, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;От -40 до +425;От -40 до +40;У1;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Подъемный;Муфтовое;32;25;Углеродистая сталь;3,3;По запросу;14700;Под заказ
Клапан обратный подъемный муфтовый 16с48нж DN 40 PN 2,5 МПа У1, корпус ст. 20, класс герметичности «В» по ГОСТ 9544-2015;Клапаны обратные;Россия;16с48нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, газоконденсат, вода, пар, аммиак, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;От -40 до +425;От -40 до +40;У1;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Подъемный;Муфтовое;40;25;Углеродистая сталь;5,8;По запросу;15500;Под заказ
Клапан обратный подъемный муфтовый 16с48нж DN 50 PN 2,5 МПа У1, корпус ст. 20, класс герметичности «В» по ГОСТ 9544-2015;Клапаны обратные;Россия;16с48нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, газоконденсат, вода, пар, аммиак, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;От -40 до +425;От -40 до +40;У1;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Подъемный;Муфтовое;50;25;Углеродистая сталь;7,5;По запросу;17300;Под заказ
Клапан обратный подъемный муфтовый 16с48нж DN 15 PN 4,0 МПа У1, корпус ст. 20, класс герметичности «В» по ГОСТ 9544-2015;Клапаны обратные;Россия;16с48нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, газоконденсат, вода, пар, аммиак, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;От -40 до +425;От -40 до +40;У1;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Подъемный;Муфтовое;15;40;Углеродистая сталь;0,9;По запросу;4200;Под заказ
Клапан обратный подъемный муфтовый 16с48нж DN 20 PN 4,0 МПа У1, корпус ст. 20, класс герметичности «В» по ГОСТ 9544-2015;Клапаны обратные;Россия;16с48нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, газоконденсат, вода, пар, аммиак, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;От -40 до +425;От -40 до +40;У1;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Подъемный;Муфтовое;20;40;Углеродистая сталь;1,9;По запросу;4600;Под заказ
Клапан обратный подъемный муфтовый 16с48нж DN 25 PN 4,0 МПа У1, корпус ст. 20, класс герметичности «В» по ГОСТ 9544-2015;Клапаны обратные;Россия;16с48нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, газоконденсат, вода, пар, аммиак, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;От -40 до +425;От -40 до +40;У1;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Подъемный;Муфтовое;25;40;Углеродистая сталь;2,2;По запросу;5200;Под заказ
Клапан обратный подъемный муфтовый 16с48нж DN 32 PN 4,0 МПа У1, корпус ст. 20, класс герметичности «В» по ГОСТ 9544-2015;Клапаны обратные;Россия;16с48нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, газоконденсат, вода, пар, аммиак, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;От -40 до +425;От -40 до +40;У1;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Подъемный;Муфтовое;32;40;Углеродистая сталь;3,3;По запросу;14700;Под заказ
Клапан обратный подъемный муфтовый 16с48нж DN 40 PN 4,0 МПа У1, корпус ст. 20, класс герметичности «В» по ГОСТ 9544-2015;Клапаны обратные;Россия;16с48нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, газоконденсат, вода, пар, аммиак, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;От -40 до +425;От -40 до +40;У1;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Подъемный;Муфтовое;40;40;Углеродистая сталь;5,8;По запросу;15500;Под заказ
Клапан обратный подъемный муфтовый 16с48нж DN 50 PN 4,0 МПа У1, корпус ст. 20, класс герметичности «В» по ГОСТ 9544-2015;Клапаны обратные;Россия;16с48нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, газоконденсат, вода, пар, аммиак, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;От -40 до +425;От -40 до +40;У1;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Подъемный;Муфтовое;50;40;Углеродистая сталь;7,5;По запросу;17300;Под заказ
Клапан обратный подъемный муфтовый 16с48нж DN 15 PN 6,3 МПа У1, корпус ст. 20, класс герметичности «В» по ГОСТ 9544-2015;Клапаны обратные;Россия;16с48нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, газоконденсат, вода, пар, аммиак, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;От -40 до +425;От -40 до +40;У1;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Подъемный;Муфтовое;15;63;Углеродистая сталь;0,9;По запросу;4200;Под заказ
Клапан обратный подъемный муфтовый 16с48нж DN 20 PN 6,3 МПа У1, корпус ст. 20, класс герметичности «В» по ГОСТ 9544-2015;Клапаны обратные;Россия;16с48нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, газоконденсат, вода, пар, аммиак, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;От -40 до +425;От -40 до +40;У1;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Подъемный;Муфтовое;20;63;Углеродистая сталь;1,9;По запросу;4600;Под заказ
Клапан обратный подъемный муфтовый 16с48нж DN 25 PN 6,3 МПа У1, корпус ст. 20, класс герметичности «В» по ГОСТ 9544-2015;Клапаны обратные;Россия;16с48нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, газоконденсат, вода, пар, аммиак, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;От -40 до +425;От -40 до +40;У1;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Подъемный;Муфтовое;25;63;Углеродистая сталь;2,2;По запросу;5200;Под заказ
Клапан обратный подъемный муфтовый 16с48нж DN 32 PN 6,3 МПа У1, корпус ст. 20, класс герметичности «В» по ГОСТ 9544-2015;Клапаны обратные;Россия;16с48нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, газоконденсат, вода, пар, аммиак, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;От -40 до +425;От -40 до +40;У1;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Подъемный;Муфтовое;32;63;Углеродистая сталь;3,3;По запросу;14700;Под заказ
Клапан обратный подъемный муфтовый 16с48нж DN 40 PN 6,3 МПа У1, корпус ст. 20, класс герметичности «В» по ГОСТ 9544-2015;Клапаны обратные;Россия;16с48нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, газоконденсат, вода, пар, аммиак, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;От -40 до +425;От -40 до +40;У1;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Подъемный;Муфтовое;40;63;Углеродистая сталь;5,8;По запросу;15500;Под заказ
Клапан обратный подъемный муфтовый 16с48нж DN 50 PN 6,3 МПа У1, корпус ст. 20, класс герметичности «В» по ГОСТ 9544-2015;Клапаны обратные;Россия;16с48нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, газоконденсат, вода, пар, аммиак, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;От -40 до +425;От -40 до +40;У1;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Подъемный;Муфтовое;50;63;Углеродистая сталь;7,5;По запросу;17300;Под заказ
Клапан обратный подъемный муфтовый 16с48нж DN 15 PN 10,0 МПа У1, корпус ст. 20, класс герметичности «В» по ГОСТ 9544-2015;Клапаны обратные;Россия;16с48нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, газоконденсат, вода, пар, аммиак, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;От -40 до +425;От -40 до +40;У1;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Подъемный;Муфтовое;15;100;Углеродистая сталь;0,9;По запросу;4200;Под заказ
Клапан обратный подъемный муфтовый 16с48нж DN 20 PN 10,0 МПа У1, корпус ст. 20, класс герметичности «В» по ГОСТ 9544-2015;Клапаны обратные;Россия;16с48нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, газоконденсат, вода, пар, аммиак, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;От -40 до +425;От -40 до +40;У1;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Подъемный;Муфтовое;20;100;Углеродистая сталь;1,9;По запросу;4600;Под заказ
Клапан обратный подъемный муфтовый 16с48нж DN 25 PN 10,0 МПа У1, корпус ст. 20, класс герметичности «В» по ГОСТ 9544-2015;Клапаны обратные;Россия;16с48нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, газоконденсат, вода, пар, аммиак, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;От -40 до +425;От -40 до +40;У1;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Подъемный;Муфтовое;25;100;Углеродистая сталь;2,2;По запросу;5200;Под заказ
Клапан обратный подъемный муфтовый 16с48нж DN 32 PN 10,0 МПа У1, корпус ст. 20, класс герметичности «В» по ГОСТ 9544-2015;Клапаны обратные;Россия;16с48нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, газоконденсат, вода, пар, аммиак, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;От -40 до +425;От -40 до +40;У1;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Подъемный;Муфтовое;32;100;Углеродистая сталь;3,3;По запросу;14700;Под заказ
Клапан обратный подъемный муфтовый 16с48нж DN 40 PN 10,0 МПа У1, корпус ст. 20, класс герметичности «В» по ГОСТ 9544-2015;Клапаны обратные;Россия;16с48нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, газоконденсат, вода, пар, аммиак, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;От -40 до +425;От -40 до +40;У1;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Подъемный;Муфтовое;40;100;Углеродистая сталь;5,8;По запросу;15500;Под заказ
Клапан обратный подъемный муфтовый 16с48нж DN 50 PN 10,0 МПа У1, корпус ст. 20, класс герметичности «В» по ГОСТ 9544-2015;Клапаны обратные;Россия;16с48нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, газоконденсат, вода, пар, аммиак, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;От -40 до +425;От -40 до +40;У1;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Подъемный;Муфтовое;50;100;Углеродистая сталь;7,5;По запросу;17300;Под заказ
Клапан обратный подъемный муфтовый 16с48нж DN 15 PN 16,0 МПа У1, корпус ст. 20, класс герметичности «В» по ГОСТ 9544-2015;Клапаны обратные;Россия;16с48нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, газоконденсат, вода, пар, аммиак, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;От -40 до +425;От -40 до +40;У1;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Подъемный;Муфтовое;15;160;Углеродистая сталь;0,9;По запросу;4200;Под заказ
Клапан обратный подъемный муфтовый 16с48нж DN 20 PN 16,0 МПа У1, корпус ст. 20, класс герметичности «В» по ГОСТ 9544-2015;Клапаны обратные;Россия;16с48нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, газоконденсат, вода, пар, аммиак, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;От -40 до +425;От -40 до +40;У1;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Подъемный;Муфтовое;20;160;Углеродистая сталь;1,9;По запросу;4600;Под заказ
Клапан обратный подъемный муфтовый 16с48нж DN 25 PN 16,0 МПа У1, корпус ст. 20, класс герметичности «В» по ГОСТ 9544-2015;Клапаны обратные;Россия;16с48нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, газоконденсат, вода, пар, аммиак, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;От -40 до +425;От -40 до +40;У1;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Подъемный;Муфтовое;25;160;Углеродистая сталь;2,2;По запросу;5200;Под заказ
Клапан обратный подъемный муфтовый 16с48нж DN 32 PN 16,0 МПа У1, корпус ст. 20, класс герметичности «В» по ГОСТ 9544-2015;Клапаны обратные;Россия;16с48нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, газоконденсат, вода, пар, аммиак, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;От -40 до +425;От -40 до +40;У1;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Подъемный;Муфтовое;32;160;Углеродистая сталь;3,3;По запросу;14700;Под заказ
Клапан обратный подъемный муфтовый 16с48нж DN 40 PN 16,0 МПа У1, корпус ст. 20, класс герметичности «В» по ГОСТ 9544-2015;Клапаны обратные;Россия;16с48нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, газоконденсат, вода, пар, аммиак, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;От -40 до +425;От -40 до +40;У1;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Подъемный;Муфтовое;40;160;Углеродистая сталь;5,8;По запросу;15500;Под заказ
Клапан обратный подъемный муфтовый 16с48нж DN 50 PN 16,0 МПа У1, корпус ст. 20, класс герметичности «В» по ГОСТ 9544-2015;Клапаны обратные;Россия;16с48нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, газоконденсат, вода, пар, аммиак, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;От -40 до +425;От -40 до +40;У1;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Подъемный;Муфтовое;50;160;Углеродистая сталь;7,5;По запросу;17300;Под заказ
Клапан обратный подъемный муфтовый 16с48нж DN 15 PN 25,0 МПа У1, корпус ст. 20, класс герметичности «В» по ГОСТ 9544-2015;Клапаны обратные;Россия;16с48нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, газоконденсат, вода, пар, аммиак, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;От -40 до +425;От -40 до +40;У1;ОТК;10;3000;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Подъемный;Муфтовое;15;250;Углеродистая сталь;0,9;По запросу;4600;Под заказ
