Наименование;Раздел;Таблица фигур;Рабочая среда;Температура рабочей среды, °С;Температура окружающего воздуха, °С;Климатическое исполнение;Класс герметичности;Приемка;Назначенный срок службы, лет;Назначенный ресурс, циклов;Наработка на отказ, циклов;Гарантия;Диаметр DN, мм;Давление PN, кгс/см²;Материал корпуса;Масса, кг, не более;Цена закупки;Цена без НДС;Срок изготовления
Переключающее устройство ПУ 150-16 23с16нж DN 150 PN 1,6 МПа У1, корпус ст. 20Л, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23с16нж;Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -40 до +450;От -40 до +45;У1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;150;16;Углеродистая сталь;180;По запросу;327170;Под заказ
Переключающее устройство ПУ 150-16-01 23с16нж1 DN 150 PN 1,6 МПа У1, корпус ст. 20Л, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23с16нж1;Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -40 до +450;От -40 до +45;У1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;150;16;Углеродистая сталь;195;По запросу;360020;Под заказ
Переключающее устройство ПУ 200-16 23с16нж DN 200 PN 1,6 МПа У1, корпус ст. 20Л, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23с16нж;Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -40 до +450;От -40 до +45;У1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;200;16;Углеродистая сталь;250;По запросу;443590;Под заказ
Переключающее устройство ПУ 50-40 23с17нж DN 50 PN 4,0 МПа У1, корпус ст. 20Л, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23с17нж;Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -40 до +450;От -40 до +45;У1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;50;40;Углеродистая сталь;39;По запросу;164260;Под заказ
Переключающее устройство ПУ 50-40-01 23с17нж1 DN 50 PN 4,0 МПа У1, корпус ст. 20Л, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23с17нж1;Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -40 до +450;От -40 до +45;У1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;50;40;Углеродистая сталь;43;По запросу;180760;Под заказ
Переключающее устройство ПУ 80-40 23с17нж DN 80 PN 4,0 МПа У1, корпус ст. 20Л, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23с17нж;Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -40 до +450;От -40 до +45;У1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;80;40;Углеродистая сталь;75;По запросу;218670;Под заказ
Переключающее устройство ПУ 80-40-01 23с17нж1 DN 80 PN 4,0 МПа У1, корпус ст. 20Л, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23с17нж1;Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -40 до +450;От -40 до +45;У1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;80;40;Углеродистая сталь;84;По запросу;239900;Под заказ
Переключающее устройство ПУ 100-40 23с17нж DN 100 PN 4,0 МПа У1, корпус ст. 20Л, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23с17нж;Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -40 до +450;От -40 до +45;У1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;100;40;Углеродистая сталь;94;По запросу;278980;Под заказ
Переключающее устройство ПУ 100-40-01 23с17нж1 DN 100 PN 4,0 МПа У1, корпус ст. 20Л, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23с17нж1;Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -40 до +450;От -40 до +45;У1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;100;40;Углеродистая сталь;116;По запросу;306950;Под заказ
Переключающее устройство ПУ 150-40 23с17нж DN 150 PN 4,0 МПа У1, корпус ст. 20Л, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23с17нж;Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -40 до +450;От -40 до +45;У1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;150;40;Углеродистая сталь;195;По запросу;334930;Под заказ
Переключающее устройство ПУ 150-40-01 23с17нж1 DN 150 PN 4,0 МПа У1, корпус ст. 20Л, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23с17нж1;Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -40 до +450;От -40 до +45;У1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;150;40;Углеродистая сталь;215;По запросу;367100;Под заказ
Переключающее устройство ПУ 25-40 23с17нж DN 25 PN 4,0 МПа У1, корпус ст. 20Л, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23с17нж;Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -40 до +450;От -40 до +45;У1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;25;40;Углеродистая сталь;30;По запросу;112350;Под заказ
Переключающее устройство ПУ 50-63 23с20нж DN 50 PN 6,3 МПа У1, корпус ст. 20Л, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23с20нж;Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -40 до +450;От -40 до +45;У1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;50;63;Углеродистая сталь;95;По запросу;330530;Под заказ
Переключающее устройство ПУ 80-63 23с20нж DN 80 PN 6,3 МПа У1, корпус ст. 20Л, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23с20нж;Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -40 до +450;От -40 до +45;У1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;80;63;Углеродистая сталь;135;По запросу;378230;Под заказ
Переключающее устройство ПУ 100-63 23с20нж DN 100 PN 6,3 МПа У1, корпус ст. 20Л, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23с20нж;Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -40 до +450;От -40 до +45;У1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;100;63;Углеродистая сталь;220;По запросу;645090;Под заказ
Переключающее устройство ПУ 50-160 23с19нж DN 50 PN 16,0 МПа У1, корпус ст. 20Л, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23с19нж;Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -40 до +450;От -40 до +45;У1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;50;160;Углеродистая сталь;105;По запросу;350930;Под заказ
Переключающее устройство ПУ 80-160 23с19нж DN 80 PN 16,0 МПа У1, корпус ст. 20Л, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23с19нж;Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -40 до +450;От -40 до +45;У1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;80;160;Углеродистая сталь;155;По запросу;483010;Под заказ
Переключающее устройство ПУ 100-160 23с19нж DN 100 PN 16,0 МПа У1, корпус ст. 20Л, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23с19нж;Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -40 до +450;От -40 до +45;У1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;100;160;Углеродистая сталь;235;По запросу;826040;Под заказ
Переключающее устройство ПУ 80-6-03хл1 23лс18нж DN 80 PN 0,6 МПа ХЛ1, корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23лс18нж;Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +450;От -60 до +45;ХЛ1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;80;6;Хладостойкая сталь;51;По запросу;250510;Под заказ
Переключающее устройство ПУ 100-6-03хл1 23лс18нж DN 100 PN 0,6 МПа ХЛ1, корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23лс18нж;Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +450;От -60 до +45;ХЛ1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;100;6;Хладостойкая сталь;67;По запросу;377710;Под заказ
Переключающее устройство ПУ 200-6-03хл1 23лс18нж DN 200 PN 0,6 МПа ХЛ1, корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23лс18нж;Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +450;От -60 до +45;ХЛ1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;200;6;Хладостойкая сталь;241;По запросу;842720;Под заказ
Переключающее устройство ПУ 300-6-03хл1 23лс18нж DN 300 PN 0,6 МПа ХЛ1, корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23лс18нж;Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +450;От -60 до +45;ХЛ1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;300;6;Хладостойкая сталь;460;По запросу;1958580;Под заказ
Переключающее устройство ПУ 50-16-06хл1 23лс16нж DN 50 PN 1,6 МПа ХЛ1, корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23лс16нж;Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +450;От -60 до +45;ХЛ1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;50;16;Хладостойкая сталь;39;По запросу;180270;Под заказ
