Наименование;Раздел;Таблица фигур;Рабочая среда;Температура рабочей среды, °С;Температура окружающего воздуха, °С;Климатическое исполнение;Класс герметичности;Приемка;Назначенный срок службы, лет;Назначенный ресурс, циклов;Наработка на отказ, циклов;Гарантия;Диаметр DN, мм;Давление PN, кгс/см²;Материал корпуса;Масса, кг, не более;Цена закупки;Цена без НДС;Срок изготовления
Переключающее устройство ПУ 80-63-01нж 23нж20нж DN 80 PN 6,3 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23нж20нж;Вода, воздух, пар, природный газ, жидкие углеводороды и нефтепродукты, масляные фракции, нефтехимические и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +600;От -60 до +45;УХЛ1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;80;63;Коррозионностойкая сталь;135;По запросу;808520;Под заказ
Переключающее устройство ПУ 100-63-01нж 23нж20нж DN 100 PN 6,3 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23нж20нж;Вода, воздух, пар, природный газ, жидкие углеводороды и нефтепродукты, масляные фракции, нефтехимические и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +600;От -60 до +45;УХЛ1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;100;63;Коррозионностойкая сталь;220;По запросу;1181880;Под заказ
Переключающее устройство ПУ 50-160-01нж 23нж19нж DN 50 PN 16,0 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23нж19нж;Вода, воздух, пар, природный газ, жидкие углеводороды и нефтепродукты, масляные фракции, нефтехимические и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +600;От -60 до +45;УХЛ1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;50;160;Коррозионностойкая сталь;105;По запросу;744510;Под заказ
Переключающее устройство ПУ 80-160-01нж 23нж19нж DN 80 PN 16,0 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23нж19нж;Вода, воздух, пар, природный газ, жидкие углеводороды и нефтепродукты, масляные фракции, нефтехимические и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +600;От -60 до +45;УХЛ1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;80;160;Коррозионностойкая сталь;155;По запросу;889390;Под заказ
Переключающее устройство ПУ 100-160-01нж 23нж19нж DN 100 PN 16,0 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23нж19нж;Вода, воздух, пар, природный газ, жидкие углеводороды и нефтепродукты, масляные фракции, нефтехимические и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +600;От -60 до +45;УХЛ1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;100;160;Коррозионностойкая сталь;235;По запросу;1299640;Под заказ
Переключающее устройство ПУ 80-6-02нж1 23нж18нж1 DN 80 PN 0,6 МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23нж18нж1;Вода, воздух, пар, природный газ, жидкие углеводороды и нефтепродукты, масляные фракции, нефтехимические и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +600;От -60 до +45;УХЛ1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;80;6;Коррозионностойкая сталь;51;По запросу;557150;Под заказ
Переключающее устройство ПУ 100-6-02нж1 23нж18нж1 DN 100 PN 0,6 МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23нж18нж1;Вода, воздух, пар, природный газ, жидкие углеводороды и нефтепродукты, масляные фракции, нефтехимические и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +600;От -60 до +45;УХЛ1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;100;6;Коррозионностойкая сталь;67;По запросу;907760;Под заказ
Переключающее устройство ПУ 200-6-02нж1 23нж18нж1 DN 200 PN 0,6 МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23нж18нж1;Вода, воздух, пар, природный газ, жидкие углеводороды и нефтепродукты, масляные фракции, нефтехимические и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +600;От -60 до +45;УХЛ1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;200;6;Коррозионностойкая сталь;241;По запросу;1594650;Под заказ
Переключающее устройство ПУ 300-6-02нж1 23нж18нж1 DN 300 PN 0,6 МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23нж18нж1;Вода, воздух, пар, природный газ, жидкие углеводороды и нефтепродукты, масляные фракции, нефтехимические и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +600;От -60 до +45;УХЛ1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;300;6;Коррозионностойкая сталь;460;По запросу;3706370;Под заказ
Переключающее устройство ПУ 50-16-04нж1 23нж16нж2 DN 50 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23нж16нж2;Вода, воздух, пар, природный газ, жидкие углеводороды и нефтепродукты, масляные фракции, нефтехимические и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +600;От -60 до +45;УХЛ1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;50;16;Коррозионностойкая сталь;39;По запросу;380060;Под заказ
Переключающее устройство ПУ 50-16-05нж1 23нж16нж3 DN 50 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23нж16нж3;Вода, воздух, пар, природный газ, жидкие углеводороды и нефтепродукты, масляные фракции, нефтехимические и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +600;От -60 до +45;УХЛ1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;50;16;Коррозионностойкая сталь;43;По запросу;394230;Под заказ
Переключающее устройство ПУ 80-16-04нж1 23нж16нж2 DN 80 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23нж16нж2;Вода, воздух, пар, природный газ, жидкие углеводороды и нефтепродукты, масляные фракции, нефтехимические и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +600;От -60 до +45;УХЛ1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;80;16;Коррозионностойкая сталь;57;По запросу;551250;Под заказ
Переключающее устройство ПУ 80-16-05нж1 23нж16нж3 DN 80 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23нж16нж3;Вода, воздух, пар, природный газ, жидкие углеводороды и нефтепродукты, масляные фракции, нефтехимические и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +600;От -60 до +45;УХЛ1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;80;16;Коррозионностойкая сталь;62;По запросу;557980;Под заказ
Переключающее устройство ПУ 100-16-04нж1 23нж16нж2 DN 100 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23нж16нж2;Вода, воздух, пар, природный газ, жидкие углеводороды и нефтепродукты, масляные фракции, нефтехимические и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +600;От -60 до +45;УХЛ1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;100;16;Коррозионностойкая сталь;79;По запросу;944650;Под заказ
Переключающее устройство ПУ 100-16-05нж1 23нж16нж3 DN 100 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23нж16нж3;Вода, воздух, пар, природный газ, жидкие углеводороды и нефтепродукты, масляные фракции, нефтехимические и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +600;От -60 до +45;УХЛ1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;100;16;Коррозионностойкая сталь;87;По запросу;987790;Под заказ
Переключающее устройство ПУ 150-16-04нж1 23нж16нж2 DN 150 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23нж16нж2;Вода, воздух, пар, природный газ, жидкие углеводороды и нефтепродукты, масляные фракции, нефтехимические и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +600;От -60 до +45;УХЛ1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;150;16;Коррозионностойкая сталь;180;По запросу;1550340;Под заказ
Переключающее устройство ПУ 150-16-05нж1 23нж16нж3 DN 150 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23нж16нж3;Вода, воздух, пар, природный газ, жидкие углеводороды и нефтепродукты, масляные фракции, нефтехимические и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +600;От -60 до +45;УХЛ1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;150;16;Коррозионностойкая сталь;195;По запросу;1576790;Под заказ
Переключающее устройство ПУ 200-16-02нж1 23нж16нж1 DN 200 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23нж16нж1;Вода, воздух, пар, природный газ, жидкие углеводороды и нефтепродукты, масляные фракции, нефтехимические и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +600;От -60 до +45;УХЛ1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;200;16;Коррозионностойкая сталь;250;По запросу;2256260;Под заказ
Переключающее устройство ПУ 25-40-02нж1 23нж17нж1 DN 25 PN 4,0 МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23нж17нж1;Вода, воздух, пар, природный газ, жидкие углеводороды и нефтепродукты, масляные фракции, нефтехимические и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +600;От -60 до +45;УХЛ1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;25;40;Коррозионностойкая сталь;30;По запросу;304250;Под заказ
Переключающее устройство ПУ 50-40-04нж1 23нж17нж2 DN 50 PN 4,0 МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23нж17нж2;Вода, воздух, пар, природный газ, жидкие углеводороды и нефтепродукты, масляные фракции, нефтехимические и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +600;От -60 до +45;УХЛ1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;50;40;Коррозионностойкая сталь;39;По запросу;338290;Под заказ
Переключающее устройство ПУ 50-40-05нж1 23нж17нж3 DN 50 PN 4,0 МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23нж17нж3;Вода, воздух, пар, природный газ, жидкие углеводороды и нефтепродукты, масляные фракции, нефтехимические и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +600;От -60 до +45;УХЛ1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;50;40;Коррозионностойкая сталь;43;По запросу;403660;Под заказ
Переключающее устройство ПУ 80-40-04нж1 23нж17нж2 DN 80 PN 4,0 МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23нж17нж2;Вода, воздух, пар, природный газ, жидкие углеводороды и нефтепродукты, масляные фракции, нефтехимические и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +600;От -60 до +45;УХЛ1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;80;40;Коррозионностойкая сталь;75;По запросу;566080;Под заказ
