Наименование;Раздел;Таблица фигур;Рабочая среда;Температура окружающего воздуха, °С;Климатическое исполнение;Класс герметичности;Приемка;Назначенный срок службы, с обязательным проведением профилактического осмотра и ремонта раз в два года, лет;Назначенный ресурс циклов за 4 года, циклов;Гарантия;Тип присоединения;Тип привода;Диаметр DN, мм;Давление PN, кгс/см²;Tmax среды, ºC;Материал корпуса;Масса, кг, не более;Цена закупки;Цена без НДС;Срок изготовления
Клапан регулирующий под приварку с электроприводом (MЭО-630/25-0,25У-92К) 1438-20-Р-08 DN 20 PN 37,3 МПа Т280 °С, корпус ст. 20;Энергетическая арматура;1438-20-Р-08;Вода;от -45 до +40;У1;В;ОТК;30;1500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;20;373;280;Углеродистая сталь;90;По запросу;407940;Под заказ
Клапан регулирующий под приварку с электроприводом (MЭО-630/25-0,25У-92К) 1438-20-Р-09 DN 20 PN 37,3 МПа Т280 °С, корпус ст. 20;Энергетическая арматура;1438-20-Р-09;Вода;от -45 до +40;У1;В;ОТК;30;1500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;20;373;280;Углеродистая сталь;90;По запросу;407940;Под заказ
Клапан регулирующий под приварку с электроприводом (MЭО-630/25-0,25У-92К) 1438-20-Р-10 DN 20 PN 37,3 МПа Т280 °С, корпус ст. 20;Энергетическая арматура;1438-20-Р-10;Вода;от -45 до +40;У1;В;ОТК;30;1500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;20;373;280;Углеродистая сталь;90;По запросу;407940;Под заказ
Клапан регулирующий под приварку с электроприводом (MЭО-630/25-0,25У-92К) 1438-20-Р-11 DN 20 PN 37,3 МПа Т280 °С, корпус ст. 20;Энергетическая арматура;1438-20-Р-11;Вода;от -45 до +40;У1;В;ОТК;30;1500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;20;373;280;Углеродистая сталь;90;По запросу;407940;Под заказ
Клапан регулирующий под приварку с электроприводом (MЭО-630/25-0,25У-92К) 1438-20-Р-12 DN 20 PN 37,3 МПа Т280 °С, корпус ст. 20;Энергетическая арматура;1438-20-Р-12;Вода;от -45 до +40;У1;В;ОТК;30;1500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;20;373;280;Углеродистая сталь;90;По запросу;407940;Под заказ
Клапан регулирующий под приварку с электроприводом (MЭО-630/25-0,25У-92К) 1438-20-Р-13 DN 20 PN 37,3 МПа Т280 °С, корпус ст. 20;Энергетическая арматура;1438-20-Р-13;Вода;от -45 до +40;У1;В;ОТК;30;1500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;20;373;280;Углеродистая сталь;90;По запросу;407940;Под заказ
Клапан регулирующий под приварку с электроприводом (МЭО-1600/25-0,25У-87К) 1193-32-Р DN 32 PN 25,0 МПа Т545 °С, корпус ст. 12Х1МФ;Энергетическая арматура;1193-32-Р;Пар;От -60 до +40;УХЛ;В;ОТК;30;1500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;32;250;545;Жаропрочная низколегированная сталь;106;По запросу;198280;Под заказ
Клапан регулирующий под приварку ручной 1033-20-Р DN 20 PN 10,0 МПа Т450 °С, корпус ст. 20;Энергетическая арматура;1033-20-Р;Вода - пар;от -45 до +40;У1;В;ОТК;30;1500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;20;100;450;Углеродистая сталь;5,7;По запросу;15470;Под заказ
Клапан регулирующий под приварку с электроприводом (МЭО-630/25-0,25У-92К) 815-40-РВ DN 40 PN 25,0 МПа Т545 °С, корпус ст. 12Х1МФ;Энергетическая арматура;815-40-РВ;Пар;От -60 до +40;УХЛ;В;ОТК;30;1500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;40;250;545;Жаропрочная низколегированная сталь;94;По запросу;230760;Под заказ
Клапан регулирующий под приварку с электроприводом (МЭО-630/25-0,25У-92К) 815-40-РВ-01 DN 40 PN 15,7 МПа Т545 °С, корпус ст. 12Х1МФ;Энергетическая арматура;815-40-РВ-01;Пар;От -60 до +40;УХЛ;В;ОТК;30;1500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;40;157;545;Жаропрочная низколегированная сталь;94;По запросу;227280;Под заказ
Клапан регулирующий под приварку с электроприводом (МТ 52400.0-0J7QE/04) 1464-40-Э DN 40 PN 37,3 МПа Т280 °С, корпус ст. 20;Энергетическая арматура;1464-40-Э;Вода;от -45 до +40;У1;В;ОТК;30;1500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;40;373;280;Углеродистая сталь;102;По запросу;568650;Под заказ
Клапан регулирующий под приварку с электроприводом (МТ 52400.0-0J7QE/04) 1464-40-Э-01 DN 40 PN 37,3 МПа Т280 °С, корпус ст. 20;Энергетическая арматура;1464-40-Э-01;Вода;от -45 до +40;У1;В;ОТК;30;1500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;40;373;280;Углеродистая сталь;47;По запросу;568650;Под заказ
Клапан регулирующий под приварку с электроприводом (МТ 52400.0-0J7QE/04) 1464-40-Э-02 DN 40 PN 37,3 МПа Т280 °С, корпус ст. 20;Энергетическая арматура;1464-40-Э-02;Вода;от -45 до +40;У1;В;ОТК;30;1500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;40;373;280;Углеродистая сталь;47;По запросу;568650;Под заказ
Клапан регулирующий под приварку с электроприводом (МТ 52400.0-0J7QE/04) 1464-40-Э-03 DN 40 PN 37,3 МПа Т280 °С, корпус ст. 20;Энергетическая арматура;1464-40-Э-03;Вода;от -45 до +40;У1;В;ОТК;30;1500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;40;373;280;Углеродистая сталь;47;По запросу;568650;Под заказ
Клапан регулирующий под приварку с электроприводом (МТ 52400.0-0J7QE/04) 1464-40-Э-04 DN 40 PN 37,3 МПа Т280 °С, корпус ст. 20;Энергетическая арматура;1464-40-Э-04;Вода;от -45 до +40;У1;В;ОТК;30;1500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;40;373;280;Углеродистая сталь;47;По запросу;568650;Под заказ
Клапан регулирующий под приварку с электроприводом (МТ 52400.0-0J7QE/04) 1464-40-Э-05 DN 40 PN 37,3 МПа Т280 °С, корпус ст. 20;Энергетическая арматура;1464-40-Э-05;Вода;от -45 до +40;У1;В;ОТК;30;1500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;40;373;280;Углеродистая сталь;47;По запросу;568650;Под заказ
Клапан регулирующий под приварку с электроприводом (МЭО-1600/25-0,25У-87К) 1195-50-Р DN 50 PN 13,7 МПа Т560 °С, корпус ст. 12Х1МФ ;Энергетическая арматура;1195-50-Р;Пар;От -60 до +40;УХЛ;В;ОТК;30;1500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;50;137;560;Жаропрочная низколегированная сталь;169;По запросу;203520;Под заказ
Клапан регулирующий под приварку с электроприводом (МЭО-630/25-0,25У-92К) 811-50-РВ DN 50 PN 13,7 МПа Т560 °С, корпус ст. 12Х1МФ;Энергетическая арматура;811-50-РВ;Пар;От -60 до +40;УХЛ;В;ОТК;30;1500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;50;137;560;Жаропрочная низколегированная сталь;92;По запросу;256200;Под заказ
Клапан регулирующий под приварку с электроприводом (МЭО-630/25-0,25У-92К) 814-50-РА DN 50 PN 37,3 МПа Т280 °С, корпус ст. 20;Энергетическая арматура;814-50-РА;Вода;от -45 до +40;У1;В;ОТК;30;1500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;50;373;280;Углеродистая сталь;93,7;По запросу;296880;Под заказ
Клапан регулирующий под приварку с электроприводом (МЭО-630/25-0,25У-92К) 814-50-РА-01 DN 50 PN 37,3 МПа Т280 °С, корпус ст. 20;Энергетическая арматура;814-50-РА-01;Вода;от -45 до +40;У1;В;ОТК;30;1500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;50;373;280;Углеродистая сталь;93,7;По запросу;290640;Под заказ
Клапан регулирующий под приварку с электроприводом (МЭО-630/25-0,25У-92К) 814-50-РА-02 DN 50 PN 37,3 МПа Т280 °С, корпус ст. 20;Энергетическая арматура;814-50-РА-02;Вода;от -45 до +40;У1;В;ОТК;30;1500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;50;373;280;Углеродистая сталь;93,7;По запросу;290640;Под заказ
Клапан регулирующий под приварку с электроприводом (МЭО-630/25-0,25У-92К) 814-50-РА-03 DN 50 PN 37,3 МПа Т280 °С, корпус ст. 20;Энергетическая арматура;814-50-РА-03;Вода;от -45 до +40;У1;В;ОТК;30;1500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;50;373;280;Углеродистая сталь;93,7;По запросу;290640;Под заказ
Клапан регулирующий под приварку с электроприводом (МЭО-630/25-0,25У-92К) 814-50-РА-04 DN 50 PN 37,3 МПа Т280 °С, корпус ст. 20;Энергетическая арматура;814-50-РА-04;Вода;от -45 до +40;У1;В;ОТК;30;1500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;50;373;280;Углеродистая сталь;93,7;По запросу;290640;Под заказ
Клапан регулирующий под приварку с электроприводом (МЭО-630/25-0,25У-92К) 814-50-РА-05 DN 50 PN 37,3 МПа Т280 °С, корпус ст. 20;Энергетическая арматура;814-50-РА-05;Вода;от -45 до +40;У1;В;ОТК;30;1500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;50;373;280;Углеродистая сталь;93,7;По запросу;290640;Под заказ
Клапан регулирующий под приварку с электроприводом (МЭО-630/25-0,25У-92К) 1197-65-Р DN 65 PN 9,8 МПа Т540 °С, корпус ст. 12Х1МФ;Энергетическая арматура;1197-65-Р;Пар;От -60 до +40;УХЛ;В;ОТК;30;1500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;65;98;540;Жаропрочная низколегированная сталь;114;По запросу;250080;Под заказ
Клапан регулирующий под приварку с электроприводом (МЭП-25000/100-50-У-99) 1436-65-Э DN 65 PN 23,5 МПа Т250 °С, корпус ст. 20;Энергетическая арматура;1436-65-Э;Вода;от -45 до +40;У1;В;ОТК;30;1500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;65;235;250;Углеродистая сталь;57;По запросу;516640;Под заказ
Клапан регулирующий под приварку с электроприводом (МЭП-25000/100-50-У-99) 1436-65-Э-01 DN 65 PN 23,5 МПа Т250 °С, корпус ст. 20;Энергетическая арматура;1436-65-Э-01;Вода;от -45 до +40;У1;В;ОТК;30;1500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;65;235;250;Углеродистая сталь;57;По запросу;516640;Под заказ
Клапан регулирующий под приварку с электроприводом (МЭП-25000/100-50-У-99) 1436-65-Э-02 DN 65 PN 23,5 МПа Т250 °С, корпус ст. 20;Энергетическая арматура;1436-65-Э-02;Вода;от -45 до +40;У1;В;ОТК;30;1500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;65;235;250;Углеродистая сталь;57;По запросу;516640;Под заказ
Клапан регулирующий под приварку с электроприводом (МЭП-25000/100-50-У-99) 1436-65-Э-03 DN 65 PN 23,5 МПа Т250 °С, корпус ст. 20;Энергетическая арматура;1436-65-Э-03;Вода;от -45 до +40;У1;В;ОТК;30;1500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;65;235;250;Углеродистая сталь;57;По запросу;516640;Под заказ
Клапан регулирующий под приварку с электроприводом (МЭП-25000/100-50-У-99) 1436-65-Э-04 DN 65 PN 23,5 МПа Т250 °С, корпус ст. 20;Энергетическая арматура;1436-65-Э-04;Вода;от -45 до +40;У1;В;ОТК;30;1500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;65;235;250;Углеродистая сталь;57;По запросу;516640;Под заказ
Клапан регулирующий под приварку с электроприводом (МЭП-25000/100-50-У-99) 1436-65-Э-05 DN 65 PN 23,5 МПа Т250 °С, корпус ст. 20;Энергетическая арматура;1436-65-Э-05;Вода;от -45 до +40;У1;В;ОТК;30;1500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;65;235;250;Углеродистая сталь;57;По запросу;516640;Под заказ
Клапан регулирующий под приварку ручной 976-65-М DN 65 PN 23,5 МПа Т250 °С, корпус ст. 20 ;Энергетическая арматура;976-65-М;Вода;от -45 до +40;У1;В;ОТК;30;1500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;65;235;250;Углеродистая сталь;44;По запросу;161590;Под заказ
Клапан регулирующий под приварку с электроприводом (792-ЭР-0А-01) 976-65-Э DN 65 PN 23,5 МПа Т250 °С, корпус ст. 20 ;Энергетическая арматура;976-65-Э;Вода;от -45 до +40;У1;В;ОТК;30;1500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;65;235;250;Углеродистая сталь;111;По запросу;429600;Под заказ
Клапан регулирующий под приварку ручной 9с-5-5-2 DN 65 PN 25,0 МПа Т350 °С, корпус ст. 20;Энергетическая арматура;9с-5-5-2;Вода - пар;от -45 до +40;У1;В;ОТК;30;1500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;65;250;350;Углеродистая сталь;40;По запросу;74100;Под заказ
Клапан регулирующий под приварку ручной 6с-9-1 DN 80 PN 10,0 МПа Т450 °С, корпус ст. 25Л;Энергетическая арматура;6с-9-1;Вода - пар;от -45 до +40;У1;В;ОТК;30;1500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;80;100;450;Углеродистая сталь;101;По запросу;144170;Под заказ
Клапан регулирующий под приварку ручной 6с-13-1 DN 80 PN 10,0 МПа Т450 °С, корпус ст. 25Л;Энергетическая арматура;6с-13-1;Вода - пар;от -45 до +40;У1;В;ОТК;30;1500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;80;100;450;Углеродистая сталь;101;По запросу;144170;Под заказ
Клапан регулирующий под приварку с электроприводом (МЭОФ-250/25-0,25У-99К) 6с-13-1Э DN 80 PN 10,0 МПа Т450 °С, корпус ст. 25Л;Энергетическая арматура;6с-13-1Э;Вода - пар;от -45 до +40;У1;В;ОТК;30;1500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;80;100;450;Углеродистая сталь;149;По запросу;314400;Под заказ
Клапан регулирующий под приварку с электроприводом (МЭОФ-250/25-0,25У-99К) 6с-9-1Э DN 80 PN 10,0 МПа Т450 °С, корпус ст. 25Л;Энергетическая арматура;6с-9-1Э;Вода - пар;от -45 до +40;У1;В;ОТК;30;1500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;80;100;450;Углеродистая сталь;149;По запросу;314400;Под заказ
Клапан регулирующий шиберный под приварку с электроприводом (792-ЭР-0АI) 1085-100-Э DN 100 PN 9,8 МПа Т540 °С, корпус ст. 15Х1М1Ф ;Энергетическая арматура;1085-100-Э;Пар;От -60 до +40;УХЛ;В;ОТК;30;1500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;100;98;540;Жаропрочная перлитная сталь;233;По запросу;873930;Под заказ
Клапан регулирующий шиберный под приварку с электроприводом (792-ЭР-0АI) 1085-100-Э-01 DN 100 PN 9,8 МПа Т540 °С, корпус ст. 15Х1М1Ф ;Энергетическая арматура;1085-100-Э-01;Пар;От -60 до +40;УХЛ;В;ОТК;30;1500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;100;98;540;Жаропрочная перлитная сталь;233;По запросу;873930;Под заказ
Клапан регулирующий под приварку ручной 6с-9-2 DN 100 PN 10,0 МПа Т450 °С, корпус ст. 25Л;Энергетическая арматура;6с-9-2;Вода - пар;от -45 до +40;У1;В;ОТК;30;1500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;100;100;450;Углеродистая сталь;104;По запросу;183170;Под заказ
Клапан регулирующий под приварку ручной 6с-13-2 DN 100 PN 10,0 МПа Т450 °С, корпус ст. 25Л;Энергетическая арматура;6с-13-2;Вода - пар;от -45 до +40;У1;В;ОТК;30;1500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;100;100;450;Углеродистая сталь;104;По запросу;183170;Под заказ
Клапан регулирующий под приварку с электроприводом (МЭОФ-250/25-0,25У-99К) 6с-13-2Э DN 100 PN 10,0 МПа Т450 °С, корпус ст. 25Л;Энергетическая арматура;6с-13-2Э;Вода - пар;от -45 до +40;У1;В;ОТК;30;1500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;100;100;450;Углеродистая сталь;139;По запросу;290400;Под заказ
Клапан регулирующий под приварку с электроприводом (792-ЭР-0АI) 1087-100-Э DN 100 PN 13,7 МПа Т560 °С, корпус ст. 15Х1М1Ф ;Энергетическая арматура;1087-100-Э;Пар;От -60 до +40;УХЛ;В;ОТК;30;1500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;100;137;560;Жаропрочная перлитная сталь;233;По запросу;888620;Под заказ
Клапан регулирующий под приварку с электроприводом (792-ЭР-0АI) 1087-100-Э-01 DN 100 PN 13,7 МПа Т560 °С, корпус ст. 15Х1М1Ф ;Энергетическая арматура;1087-100-Э-01;Пар;От -60 до +40;УХЛ;В;ОТК;30;1500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;100;137;560;Жаропрочная перлитная сталь;233;По запросу;888620;Под заказ
Клапан регулирующий под приварку с электроприводом (792-ЭР-0АI) 1087-100-Э-02 DN 100 PN 13,7 МПа Т560 °С, корпус ст. 15Х1М1Ф ;Энергетическая арматура;1087-100-Э-02;Пар;От -60 до +40;УХЛ;В;ОТК;30;1500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;100;137;560;Жаропрочная перлитная сталь;233;По запросу;888620;Под заказ
Клапан регулирующий под приварку с электроприводом (792-ЭР-0А) 1086-100-Э DN 100 PN 23,5 МПа Т250 °С, корпус ст. 20;Энергетическая арматура;1086-100-Э;Вода;от -45 до +40;У1;В;ОТК;30;1500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;100;235;250;Углеродистая сталь;233;По запросу;740520;Под заказ
Клапан регулирующий под приварку с электроприводом (792-ЭР-0А) 1086-100-Э-01 DN 100 PN 23,5 МПа Т250 °С, корпус ст. 20;Энергетическая арматура;1086-100-Э-01;Вода;от -45 до +40;У1;В;ОТК;30;1500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;100;235;250;Углеродистая сталь;233;По запросу;740520;Под заказ
Клапан регулирующий под приварку с электроприводом (МЭО-630/10-0,25У-92К) 1416-100-Р DN 100 PN 23,5 МПа Т250 °С, корпус ст. 15ГС;Энергетическая арматура;1416-100-Р;Вода;От -60 до +40;ХЛ1;В;ОТК;30;1500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;100;235;250;Конструкционная низколегированная сталь;259;По запросу;1055900;Под заказ
Клапан регулирующий под приварку с электроприводом (МЭО-630/10-0,25У-92К) 1416-100-Р-01 DN 100 PN 23,5 МПа Т250 °С, корпус ст. 15ГС;Энергетическая арматура;1416-100-Р-01;Вода;От -60 до +40;ХЛ1;В;ОТК;30;1500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;100;235;250;Конструкционная низколегированная сталь;259;По запросу;1055900;Под заказ
Клапан регулирующий под приварку с электроприводом (МЭО-630/10-0,25У-92К) 1416-100-Р-02 DN 100 PN 23,5 МПа Т250 °С, корпус ст. 15ГС;Энергетическая арматура;1416-100-Р-02;Вода;От -60 до +40;ХЛ1;В;ОТК;30;1500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;100;235;250;Конструкционная низколегированная сталь;259;По запросу;1055900;Под заказ
Клапан регулирующий под приварку с электроприводом (МЭОФ-1000/20-0,25У-96К) 1416-100-Э DN 100 PN 23,5 МПа Т250 °С, корпус ст. 15ГС;Энергетическая арматура;1416-100-Э;Вода;От -60 до +40;ХЛ1;В;ОТК;30;1500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;100;235;250;Конструкционная низколегированная сталь;252;По запросу;1055900;Под заказ
Клапан регулирующий под приварку с электроприводом (МЭОФ-1000/20-0,25У-96К) 1416-100-Э-01 DN 100 PN 23,5 МПа Т250 °С, корпус ст. 15ГС;Энергетическая арматура;1416-100-Э-01;Вода;От -60 до +40;ХЛ1;В;ОТК;30;1500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;100;235;250;Конструкционная низколегированная сталь;252;По запросу;1055900;Под заказ
Клапан регулирующий под приварку с электроприводом (МЭОФ-1000/20-0,25У-96К) 1416-100-Э-02 DN 100 PN 23,5 МПа Т250 °С, корпус ст. 15ГС;Энергетическая арматура;1416-100-Э-02;Вода;От -60 до +40;ХЛ1;В;ОТК;30;1500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;100;235;250;Конструкционная низколегированная сталь;252;По запросу;1055900;Под заказ
Клапан регулирующий под приварку с электроприводом (792-ЭР-0А) 1084-100-ЭА DN 100 PN 37,3 МПа Т280 °С, корпус ст. 20;Энергетическая арматура;1084-100-ЭА;Вода;от -45 до +40;У1;В;ОТК;30;1500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;100;373;280;Углеродистая сталь;285;По запросу;770300;Под заказ
Клапан регулирующий под приварку с электроприводом (792-ЭР-0А) 1084-100-ЭА-01 DN 100 PN 37,3 МПа Т280 °С, корпус ст. 20;Энергетическая арматура;1084-100-ЭА-01;Вода;от -45 до +40;У1;В;ОТК;30;1500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;100;373;280;Углеродистая сталь;285;По запросу;770300;Под заказ
Клапан регулирующий под приварку с электроприводом (792-ЭР-0А) 1084-100-ЭА-02 DN 100 PN 37,3 МПа Т280 °С, корпус ст. 20;Энергетическая арматура;1084-100-ЭА-02;Вода;от -45 до +40;У1;В;ОТК;30;1500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;100;373;280;Углеродистая сталь;285;По запросу;770300;Под заказ
Клапан регулирующий под приварку с электроприводом (792-ЭР-0А) 1084-100-ЭА-03 DN 100 PN 37,3 МПа Т280 °С, корпус ст. 20;Энергетическая арматура;1084-100-ЭА-03;Вода;от -45 до +40;У1;В;ОТК;30;1500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;100;373;280;Углеродистая сталь;285;По запросу;770300;Под заказ
Клапан регулирующий под приварку ручной 6с-9-3 DN 150 PN 10,0 МПа Т450 °С, корпус ст. 25Л;Энергетическая арматура;6с-9-3;Вода - пар;от -45 до +40;У1;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;150;100;450;Углеродистая сталь;131;По запросу;233660;Под заказ
Клапан регулирующий под приварку ручной 6с-13-3 DN 150 PN 10,0 МПа Т450 °С, корпус ст. 25Л;Энергетическая арматура;6с-13-3;Вода - пар;от -45 до +40;У1;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;150;100;450;Углеродистая сталь;131;По запросу;233660;Под заказ
Клапан регулирующий под приварку с электроприводом (МЭОФ-250/25-0,25У-99К) 6с-13-3Э DN 150 PN 10,0 МПа Т450 °С, корпус ст. 25Л;Энергетическая арматура;6с-13-3Э;Вода - пар;от -45 до +40;У1;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;150;100;450;Углеродистая сталь;173;По запросу;337200;Под заказ
Клапан регулирующий под приварку с электроприводом (793-ЭР-0I) 995-150-ЭА DN 150 PN 9,8 МПа Т540 °С, корпус ст. 15Х1М1ФЛ;Энергетическая арматура;995-150-ЭА;Пар;От -60 до +40;УХЛ;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;150;98;540;Жаропрочная перлитная сталь;571;По запросу;2132820;Под заказ
Клапан регулирующий под приварку с электроприводом (793-ЭР-0I) 995-150-ЭА-01 DN 150 PN 9,8 МПа Т540 °С, корпус ст. 15Х1М1ФЛ;Энергетическая арматура;995-150-ЭА-01;Пар;От -60 до +40;УХЛ;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;150;98;540;Жаропрочная перлитная сталь;571;По запросу;2132820;Под заказ
Клапан регулирующий под приварку с электроприводом (793-ЭР-0I) 995-150-ЭА-02 DN 150 PN 9,8 МПа Т540 °С, корпус ст. 15Х1М1ФЛ;Энергетическая арматура;995-150-ЭА-02;Пар;От -60 до +40;УХЛ;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;150;98;540;Жаропрочная перлитная сталь;571;По запросу;2132820;Под заказ
