Наименование;Раздел;Страна производитель;Обозначение ;Рабочая среда;Температура рабочей среды, °С;Температура окружающего воздуха, °С;Климатическое исполнение;Класс герметичности;Приемка;Назначенный срок службы, лет;Назначенный ресурс, циклов;Наработка на отказ, циклов;Гарантия;Тип крана;Тип прохода;Вид проходимости;Тип присоединения;Тип привода;Диаметр DN, мм;Давление PN, кгс/см²;Материал корпуса;Масса, кг, не более;Цена закупки;Цена без НДС;Срок изготовления;;;
Кран шаровой разборный трехходовой полнопроходной под приварку с редуктором КШ-Р.ТХ.ПП.П.РД. DN 150 PN 2,5 МПа, корпус ст. 12Х18Н10Т, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.ТХ.ПП.П.РД.;Агрессивные к проточной части крана среды (спирт, растворы кислот, щелочей и прочее), по отношению к которым материалы крана коррозионностойки;До +200;От -60 до +50;УХЛ1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Трехходовой;Полнопроходной;Под приварку;Редукторный;150;25;Коррозионностойкая сталь;110;По запросу;427100;Под заказ;;;
Кран шаровой разборный трехходовой полнопроходной под приварку с редуктором КШ-Р.ТХ.ПП.П.РД. DN 200 PN 2,5 МПа, корпус ст. 12Х18Н10Т, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.ТХ.ПП.П.РД.;Агрессивные к проточной части крана среды (спирт, растворы кислот, щелочей и прочее), по отношению к которым материалы крана коррозионностойки;До +200;От -60 до +50;УХЛ1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Трехходовой;Полнопроходной;Под приварку;Редукторный;200;25;Коррозионностойкая сталь;130;По запросу;804520;Под заказ;;;
Кран шаровой разборный трехходовой полнопроходной муфтовый ручной КШ-Р.ТХ.ПП.М.Р. DN 10 PN 2,5 МПа, корпус ст. 12Х18Н10Т, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.ТХ.ПП.М.Р.;Агрессивные к проточной части крана среды (спирт, растворы кислот, щелочей и прочее), по отношению к которым материалы крана коррозионностойки;До +200;От -60 до +50;УХЛ1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Трехходовой;Полнопроходной;Муфтовое;Ручной;10;25;Коррозионностойкая сталь;1;По запросу;12380;Под заказ;;;
Кран шаровой разборный трехходовой полнопроходной муфтовый ручной КШ-Р.ТХ.ПП.М.Р. DN 15 PN 2,5 МПа, корпус ст. 12Х18Н10Т, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.ТХ.ПП.М.Р.;Агрессивные к проточной части крана среды (спирт, растворы кислот, щелочей и прочее), по отношению к которым материалы крана коррозионностойки;До +200;От -60 до +50;УХЛ1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Трехходовой;Полнопроходной;Муфтовое;Ручной;15;25;Коррозионностойкая сталь;1,2;По запросу;12670;Под заказ;;;
Кран шаровой разборный трехходовой полнопроходной муфтовый ручной КШ-Р.ТХ.ПП.М.Р. DN 20 PN 2,5 МПа, корпус ст. 12Х18Н10Т, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.ТХ.ПП.М.Р.;Агрессивные к проточной части крана среды (спирт, растворы кислот, щелочей и прочее), по отношению к которым материалы крана коррозионностойки;До +200;От -60 до +50;УХЛ1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Трехходовой;Полнопроходной;Муфтовое;Ручной;20;25;Коррозионностойкая сталь;1,9;По запросу;14400;Под заказ;;;
Кран шаровой разборный трехходовой полнопроходной муфтовый ручной КШ-Р.ТХ.ПП.М.Р. DN 25 PN 2,5 МПа, корпус ст. 12Х18Н10Т, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.ТХ.ПП.М.Р.;Агрессивные к проточной части крана среды (спирт, растворы кислот, щелочей и прочее), по отношению к которым материалы крана коррозионностойки;До +200;От -60 до +50;УХЛ1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Трехходовой;Полнопроходной;Муфтовое;Ручной;25;25;Коррозионностойкая сталь;3,3;По запросу;15160;Под заказ;;;
Кран шаровой разборный трехходовой полнопроходной муфтовый ручной КШ-Р.ТХ.ПП.М.Р. DN 32 PN 2,5 МПа, корпус ст. 12Х18Н10Т, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.ТХ.ПП.М.Р.;Агрессивные к проточной части крана среды (спирт, растворы кислот, щелочей и прочее), по отношению к которым материалы крана коррозионностойки;До +200;От -60 до +50;УХЛ1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Трехходовой;Полнопроходной;Муфтовое;Ручной;32;25;Коррозионностойкая сталь;5;По запросу;26060;Под заказ;;;
Кран шаровой разборный трехходовой полнопроходной муфтовый ручной КШ-Р.ТХ.ПП.М.Р. DN 40 PN 2,5 МПа, корпус ст. 12Х18Н10Т, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.ТХ.ПП.М.Р.;Агрессивные к проточной части крана среды (спирт, растворы кислот, щелочей и прочее), по отношению к которым материалы крана коррозионностойки;До +200;От -60 до +50;УХЛ1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Трехходовой;Полнопроходной;Муфтовое;Ручной;40;25;Коррозионностойкая сталь;7;По запросу;42910;Под заказ;;;
Кран шаровой разборный трехходовой полнопроходной муфтовый ручной КШ-Р.ТХ.ПП.М.Р. DN 50 PN 2,5 МПа, корпус ст. 12Х18Н10Т, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.ТХ.ПП.М.Р.;Агрессивные к проточной части крана среды (спирт, растворы кислот, щелочей и прочее), по отношению к которым материалы крана коррозионностойки;До +200;От -60 до +50;УХЛ1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Трехходовой;Полнопроходной;Муфтовое;Ручной;50;25;Коррозионностойкая сталь;10;По запросу;53560;Под заказ;;;
Кран шаровой разборный трехходовой полнопроходной муфтовый ручной КШ-Р.ТХ.ПП.М.Р. DN 65 PN 2,5 МПа, корпус ст. 12Х18Н10Т, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.ТХ.ПП.М.Р.;Агрессивные к проточной части крана среды (спирт, растворы кислот, щелочей и прочее), по отношению к которым материалы крана коррозионностойки;До +200;От -60 до +50;УХЛ1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Трехходовой;Полнопроходной;Муфтовое;Ручной;65;25;Коррозионностойкая сталь;12;По запросу;74880;Под заказ;;;
Кран шаровой разборный трехходовой полнопроходной муфтовый ручной КШ-Р.ТХ.ПП.М.Р. DN 80 PN 2,5 МПа, корпус ст. 12Х18Н10Т, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.ТХ.ПП.М.Р.;Агрессивные к проточной части крана среды (спирт, растворы кислот, щелочей и прочее), по отношению к которым материалы крана коррозионностойки;До +200;От -60 до +50;УХЛ1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Трехходовой;Полнопроходной;Муфтовое;Ручной;80;25;Коррозионностойкая сталь;13,5;По запросу;94460;Под заказ;;;
Кран шаровой разборный трехходовой полнопроходной штуцерно-ниппельный ручной КШ-Р.ТХ.ПП.ШН.Р. DN 10 PN 2,5 МПа, корпус ст. 12Х18Н10Т, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.ТХ.ПП.ШН.Р.;Агрессивные к проточной части крана среды (спирт, растворы кислот, щелочей и прочее), по отношению к которым материалы крана коррозионностойки;До +200;От -60 до +50;УХЛ1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Трехходовой;Полнопроходной;Штуцерно-ниппельное;Ручной;10;25;Коррозионностойкая сталь;1,6;По запросу;17280;Под заказ;;;
Кран шаровой разборный трехходовой полнопроходной штуцерно-ниппельный ручной КШ-Р.ТХ.ПП.ШН.Р. DN 15 PN 2,5 МПа, корпус ст. 12Х18Н10Т, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.ТХ.ПП.ШН.Р.;Агрессивные к проточной части крана среды (спирт, растворы кислот, щелочей и прочее), по отношению к которым материалы крана коррозионностойки;До +200;От -60 до +50;УХЛ1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Трехходовой;Полнопроходной;Штуцерно-ниппельное;Ручной;15;25;Коррозионностойкая сталь;1,6;По запросу;17950;Под заказ;;;
Кран шаровой разборный трехходовой полнопроходной штуцерно-ниппельный ручной КШ-Р.ТХ.ПП.ШН.Р. DN 20 PN 2,5 МПа, корпус ст. 12Х18Н10Т, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.ТХ.ПП.ШН.Р.;Агрессивные к проточной части крана среды (спирт, растворы кислот, щелочей и прочее), по отношению к которым материалы крана коррозионностойки;До +200;От -60 до +50;УХЛ1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Трехходовой;Полнопроходной;Штуцерно-ниппельное;Ручной;20;25;Коррозионностойкая сталь;3,7;По запросу;21400;Под заказ;;;
Кран шаровой разборный трехходовой полнопроходной штуцерно-ниппельный ручной КШ-Р.ТХ.ПП.ШН.Р. DN 25 PN 2,5 МПа, корпус ст. 12Х18Н10Т, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.ТХ.ПП.ШН.Р.;Агрессивные к проточной части крана среды (спирт, растворы кислот, щелочей и прочее), по отношению к которым материалы крана коррозионностойки;До +200;От -60 до +50;УХЛ1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Трехходовой;Полнопроходной;Штуцерно-ниппельное;Ручной;25;25;Коррозионностойкая сталь;5,5;По запросу;23800;Под заказ;;;
Кран шаровой разборный трехходовой полнопроходной штуцерно-ниппельный ручной КШ-Р.ТХ.ПП.ШН.Р. DN 32 PN 2,5 МПа, корпус ст. 12Х18Н10Т, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.ТХ.ПП.ШН.Р.;Агрессивные к проточной части крана среды (спирт, растворы кислот, щелочей и прочее), по отношению к которым материалы крана коррозионностойки;До +200;От -60 до +50;УХЛ1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Трехходовой;Полнопроходной;Штуцерно-ниппельное;Ручной;32;25;Коррозионностойкая сталь;8,8;По запросу;46220;Под заказ;;;
Кран шаровой разборный трехходовой полнопроходной штуцерно-ниппельный ручной КШ-Р.ТХ.ПП.ШН.Р. DN 40 PN 2,5 МПа, корпус ст. 12Х18Н10Т, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.ТХ.ПП.ШН.Р.;Агрессивные к проточной части крана среды (спирт, растворы кислот, щелочей и прочее), по отношению к которым материалы крана коррозионностойки;До +200;От -60 до +50;УХЛ1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Трехходовой;Полнопроходной;Штуцерно-ниппельное;Ручной;40;25;Коррозионностойкая сталь;10,2;По запросу;60910;Под заказ;;;
Кран шаровой разборный трехходовой полнопроходной штуцерно-ниппельный ручной КШ-Р.ТХ.ПП.ШН.Р. DN 50 PN 2,5 МПа, корпус ст. 12Х18Н10Т, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.ТХ.ПП.ШН.Р.;Агрессивные к проточной части крана среды (спирт, растворы кислот, щелочей и прочее), по отношению к которым материалы крана коррозионностойки;До +200;От -60 до +50;УХЛ1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Трехходовой;Полнопроходной;Штуцерно-ниппельное;Ручной;50;25;Коррозионностойкая сталь;16,5;По запросу;70560;Под заказ;;;
Кран шаровой разборный трехходовой неполнопроходной фланцевый ручной КШ-Р.ТХ.НП.Ф.Р. DN 65/50 PN 2,5 МПа, корпус ст. 12Х18Н10Т, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.ТХ.НП.Ф.Р.;Агрессивные к проточной части крана среды (спирт, растворы кислот, щелочей и прочее), по отношению к которым материалы крана коррозионностойки;До +200;От -60 до +50;УХЛ1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Трехходовой;Неполнопроходной;Фланцевое;Ручной;65/50;25;Коррозионностойкая сталь;26;По запросу;118800;Под заказ;;;
Кран шаровой разборный трехходовой неполнопроходной фланцевый ручной КШ-Р.ТХ.НП.Ф.Р. DN 100/80 PN 2,5 МПа, корпус ст. 12Х18Н10Т, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.ТХ.НП.Ф.Р.;Агрессивные к проточной части крана среды (спирт, растворы кислот, щелочей и прочее), по отношению к которым материалы крана коррозионностойки;До +200;От -60 до +50;УХЛ1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Трехходовой;Неполнопроходной;Фланцевое;Ручной;100/80;25;Коррозионностойкая сталь;51;По запросу;200880;Под заказ;;;
Кран шаровой разборный трехходовой неполнопроходной фланцевый ручной КШ-Р.ТХ.НП.Ф.Р. DN 125/100 PN 2,5 МПа, корпус ст. 12Х18Н10Т, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.ТХ.НП.Ф.Р.;Агрессивные к проточной части крана среды (спирт, растворы кислот, щелочей и прочее), по отношению к которым материалы крана коррозионностойки;До +200;От -60 до +50;УХЛ1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Трехходовой;Неполнопроходной;Фланцевое;Ручной;125/100;25;Коррозионностойкая сталь;68;По запросу;372240;Под заказ;;;
Кран шаровой разборный трехходовой неполнопроходной под приварку ручной КШ-Р.ТХ.НП.П.Р. DN 65/50 PN 2,5 МПа, корпус ст. 12Х18Н10Т, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.ТХ.НП.П.Р.;Агрессивные к проточной части крана среды (спирт, растворы кислот, щелочей и прочее), по отношению к которым материалы крана коррозионностойки;До +200;От -60 до +50;УХЛ1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Трехходовой;Неполнопроходной;Под приварку;Ручной;65/50;25;Коррозионностойкая сталь;16;По запросу;73580;Под заказ;;;
Кран шаровой разборный трехходовой неполнопроходной под приварку ручной КШ-Р.ТХ.НП.П.Р. DN 100/80 PN 2,5 МПа, корпус ст. 12Х18Н10Т, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.ТХ.НП.П.Р.;Агрессивные к проточной части крана среды (спирт, растворы кислот, щелочей и прочее), по отношению к которым материалы крана коррозионностойки;До +200;От -60 до +50;УХЛ1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Трехходовой;Неполнопроходной;Под приварку;Ручной;100/80;25;Коррозионностойкая сталь;42;По запросу;122540;Под заказ;;;
Кран шаровой разборный трехходовой неполнопроходной под приварку ручной КШ-Р.ТХ.НП.П.Р. DN 125/100 PN 2,5 МПа, корпус ст. 12Х18Н10Т, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.ТХ.НП.П.Р.;Агрессивные к проточной части крана среды (спирт, растворы кислот, щелочей и прочее), по отношению к которым материалы крана коррозионностойки;До +200;От -60 до +50;УХЛ1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Трехходовой;Неполнопроходной;Под приварку;Ручной;125/100;25;Коррозионностойкая сталь;55;По запросу;298080;Под заказ;;;
Кран шаровой разборный трехходовой неполнопроходной муфтовый ручной КШ-Р.ТХ.НП.М.Р.DN 65/50 PN 2,5 МПа, корпус ст. 12Х18Н10Т, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.ТХ.НП.М.Р.;Агрессивные к проточной части крана среды (спирт, растворы кислот, щелочей и прочее), по отношению к которым материалы крана коррозионностойки;До +200;От -60 до +50;УХЛ1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Трехходовой;Неполнопроходной;Муфтовое;Ручной;65/50;25;Коррозионностойкая сталь;10,5;По запросу;74880;Под заказ;;;
Кран шаровой разборный трехходовой неполнопроходной фланцевый ручной КШ-Р.ТХ.НП.Ф.Р. DN 15/10 PN 2,5 МПа, корпус ст. 10Х17Н13М2Т, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.ТХ.НП.Ф.Р.;Агрессивные к проточной части крана среды (спирт, растворы кислот, щелочей и прочее), по отношению к которым материалы крана коррозионностойки;До +200;От -60 до +50;УХЛ1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Трехходовой;Неполнопроходной;Фланцевое;Ручной;15/10;25;Коррозионностойкая сталь;4,5;По запросу;67390;Под заказ;;;
Кран шаровой разборный трехходовой неполнопроходной фланцевый ручной КШ-Р.ТХ.НП.Ф.Р. DN 20/15 PN 2,5 МПа, корпус ст. 10Х17Н13М2Т, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.ТХ.НП.Ф.Р.;Агрессивные к проточной части крана среды (спирт, растворы кислот, щелочей и прочее), по отношению к которым материалы крана коррозионностойки;До +200;От -60 до +50;УХЛ1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Трехходовой;Неполнопроходной;Фланцевое;Ручной;20/15;25;Коррозионностойкая сталь;5;По запросу;83080;Под заказ;;;
Кран шаровой разборный трехходовой неполнопроходной фланцевый ручной КШ-Р.ТХ.НП.Ф.Р. DN 25/20 PN 2,5 МПа, корпус ст. 10Х17Н13М2Т, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.ТХ.НП.Ф.Р.;Агрессивные к проточной части крана среды (спирт, растворы кислот, щелочей и прочее), по отношению к которым материалы крана коррозионностойки;До +200;От -60 до +50;УХЛ1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Трехходовой;Неполнопроходной;Фланцевое;Ручной;25/20;25;Коррозионностойкая сталь;6,7;По запросу;92300;Под заказ;;;
Кран шаровой разборный трехходовой неполнопроходной фланцевый ручной КШ-Р.ТХ.НП.Ф.Р. DN 32/25 PN 2,5 МПа, корпус ст. 10Х17Н13М2Т, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.ТХ.НП.Ф.Р.;Агрессивные к проточной части крана среды (спирт, растворы кислот, щелочей и прочее), по отношению к которым материалы крана коррозионностойки;До +200;От -60 до +50;УХЛ1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Трехходовой;Неполнопроходной;Фланцевое;Ручной;32/25;25;Коррозионностойкая сталь;10;По запросу;124270;Под заказ;;;
Кран шаровой разборный трехходовой неполнопроходной фланцевый ручной КШ-Р.ТХ.НП.Ф.Р. DN 40/32 PN 2,5 МПа, корпус ст. 10Х17Н13М2Т, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.ТХ.НП.Ф.Р.;Агрессивные к проточной части крана среды (спирт, растворы кислот, щелочей и прочее), по отношению к которым материалы крана коррозионностойки;До +200;От -60 до +50;УХЛ1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Трехходовой;Неполнопроходной;Фланцевое;Ручной;40/32;25;Коррозионностойкая сталь;14;По запросу;160120;Под заказ;;;
Кран шаровой разборный трехходовой неполнопроходной фланцевый ручной КШ-Р.ТХ.НП.Ф.Р. DN 50/40 PN 2,5 МПа, корпус ст. 10Х17Н13М2Т, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.ТХ.НП.Ф.Р.;Агрессивные к проточной части крана среды (спирт, растворы кислот, щелочей и прочее), по отношению к которым материалы крана коррозионностойки;До +200;От -60 до +50;УХЛ1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Трехходовой;Неполнопроходной;Фланцевое;Ручной;50/40;25;Коррозионностойкая сталь;17;По запросу;185320;Под заказ;;;
Кран шаровой разборный трехходовой неполнопроходной фланцевый ручной КШ-Р.ТХ.НП.Ф.Р. DN 65/50 PN 2,5 МПа, корпус ст. 10Х17Н13М2Т, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.ТХ.НП.Ф.Р.;Агрессивные к проточной части крана среды (спирт, растворы кислот, щелочей и прочее), по отношению к которым материалы крана коррозионностойки;До +200;От -60 до +50;УХЛ1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Трехходовой;Неполнопроходной;Фланцевое;Ручной;65/50;25;Коррозионностойкая сталь;30;По запросу;267120;Под заказ;;;
Кран шаровой разборный трехходовой неполнопроходной фланцевый ручной КШ-Р.ТХ.НП.Ф.Р.DN 80/65 PN 2,5 МПа, корпус ст. 10Х17Н13М2Т, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.ТХ.НП.Ф.Р.;Агрессивные к проточной части крана среды (спирт, растворы кислот, щелочей и прочее), по отношению к которым материалы крана коррозионностойки;До +200;От -60 до +50;УХЛ1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Трехходовой;Неполнопроходной;Фланцевое;Ручной;80/65;25;Коррозионностойкая сталь;45;По запросу;332780;Под заказ;;;
Кран шаровой разборный трехходовой неполнопроходной фланцевый ручной КШ-Р.ТХ.НП.Ф.Р. DN 100/80 PN 2,5 МПа, корпус ст. 10Х17Н13М2Т, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.ТХ.НП.Ф.Р.;Агрессивные к проточной части крана среды (спирт, растворы кислот, щелочей и прочее), по отношению к которым материалы крана коррозионностойки;До +200;От -60 до +50;УХЛ1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Трехходовой;Неполнопроходной;Фланцевое;Ручной;100/80;25;Коррозионностойкая сталь;57;По запросу;452010;Под заказ;;;
Кран шаровой разборный трехходовой неполнопроходной фланцевый ручной КШ-Р.ТХ.НП.Ф.Р. DN 125/100 PN 2,5 МПа, корпус ст. 10Х17Н13М2Т, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.ТХ.НП.Ф.Р.;Агрессивные к проточной части крана среды (спирт, растворы кислот, щелочей и прочее), по отношению к которым материалы крана коррозионностойки;До +200;От -60 до +50;УХЛ1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Трехходовой;Неполнопроходной;Фланцевое;Ручной;125/100;25;Коррозионностойкая сталь;75;По запросу;837360;Под заказ;;;
Кран шаровой разборный трехходовой неполнопроходной фланцевый с редуктором КШ-Р.ТХ.НП.Ф.РД. DN 150/125 PN 2,5 МПа, корпус ст. 10Х17Н13М2Т, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.ТХ.НП.Ф.РД.;Агрессивные к проточной части крана среды (спирт, растворы кислот, щелочей и прочее), по отношению к которым материалы крана коррозионностойки;До +200;От -60 до +50;УХЛ1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Трехходовой;Неполнопроходной;Фланцевое;Редукторный;150/125;25;Коррозионностойкая сталь;164;По запросу;1104480;Под заказ;;;
Кран шаровой разборный трехходовой неполнопроходной фланцевый с редуктором КШ-Р.ТХ.НП.Ф.РД. DN 200/150 PN 2,5 МПа, корпус ст. 10Х17Н13М2Т, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.ТХ.НП.Ф.РД.;Агрессивные к проточной части крана среды (спирт, растворы кислот, щелочей и прочее), по отношению к которым материалы крана коррозионностойки;До +200;От -60 до +50;УХЛ1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Трехходовой;Неполнопроходной;Фланцевое;Редукторный;200/150;25;Коррозионностойкая сталь;204;По запросу;2121260;Под заказ;;;
Кран шаровой разборный трехходовой неполнопроходной под приварку ручной КШ-Р.ТХ.НП.П.Р. DN 15/10 PN 2,5 МПа, корпус ст. 10Х17Н13М2Т, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.ТХ.НП.П.Р.;Агрессивные к проточной части крана среды (спирт, растворы кислот, щелочей и прочее), по отношению к которым материалы крана коррозионностойки;До +200;От -60 до +50;УХЛ1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Трехходовой;Неполнопроходной;Под приварку;Ручной;15/10;25;Коррозионностойкая сталь;1,5;По запросу;43920;Под заказ;;;
Кран шаровой разборный трехходовой неполнопроходной под приварку ручной КШ-Р.ТХ.НП.П.Р. DN 20/15 PN 2,5 МПа, корпус ст. 10Х17Н13М2Т, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.ТХ.НП.П.Р.;Агрессивные к проточной части крана среды (спирт, растворы кислот, щелочей и прочее), по отношению к которым материалы крана коррозионностойки;До +200;От -60 до +50;УХЛ1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Трехходовой;Неполнопроходной;Под приварку;Ручной;20/15;25;Коррозионностойкая сталь;2,4;По запросу;50970;Под заказ;;;
