Наименование;Раздел;Страна производитель;Обозначение ;Рабочая среда;Температура рабочей среды, °С;Температура окружающего воздуха, °С;Климатическое исполнение;Класс герметичности;Приемка;Назначенный срок службы, лет;Назначенный ресурс, циклов;Наработка на отказ, циклов;Гарантия;Тип крана;Тип прохода;Вид проходимости;Тип присоединения;Тип привода;Диаметр DN, мм;Давление PN, кгс/см²;Материал корпуса;Масса, кг, не более;Цена закупки;Цена без НДС;Срок изготовления;;;
Кран шаровой разборный проходной полнопроходной фланцевый ручной КШ-Р.П.ПП.Ф.Р. DN 100 PN 1,6 МПа, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.П.ПП.Ф.Р.;Неагрессивные к проточной части крана среды (вода, масло, нефтепродукты, природный газ и прочее);До +200;От -40 до +50;У1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Полнопроходной;Фланцевое;Ручной;100;16;Углеродистая сталь;27,2;По запросу;23760;Под заказ;;;
Кран шаровой разборный проходной полнопроходной фланцевый ручной КШ-Р.П.ПП.Ф.Р. DN 125 PN 1,6 МПа, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.П.ПП.Ф.Р.;Неагрессивные к проточной части крана среды (вода, масло, нефтепродукты, природный газ и прочее);До +200;От -40 до +50;У1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Полнопроходной;Фланцевое;Ручной;125;16;Углеродистая сталь;50;По запросу;42440;Под заказ;;;
Кран шаровой разборный проходной полнопроходной фланцевый с редуктором КШ-Р.П.ПП.Ф.РД. DN 150 PN 1,6 МПа, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.П.ПП.Ф.РД.;Неагрессивные к проточной части крана среды (вода, масло, нефтепродукты, природный газ и прочее);До +200;От -40 до +50;У1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Полнопроходной;Фланцевое;Редукторный;150;16;Углеродистая сталь;65,2;По запросу;85210;Под заказ;;;
Кран шаровой разборный проходной полнопроходной фланцевый с редуктором КШ-Р.П.ПП.Ф.РД. DN 200 PN 1,6 МПа, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.П.ПП.Ф.РД.;Неагрессивные к проточной части крана среды (вода, масло, нефтепродукты, природный газ и прочее);До +200;От -40 до +50;У1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Полнопроходной;Фланцевое;Редукторный;200;16;Углеродистая сталь;135;По запросу;201960;Под заказ;;;
Кран шаровой разборный проходной полнопроходной под приварку ручной КШ-Р.П.ПП.П.Р. DN 10 PN 1,6 МПа, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.П.ПП.П.Р.;Неагрессивные к проточной части крана среды (вода, масло, нефтепродукты, природный газ и прочее);До +200;От -40 до +50;У1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Полнопроходной;Под приварку;Ручной;10;16;Углеродистая сталь;0,5;По запросу;4270;Под заказ;;;
Кран шаровой разборный проходной полнопроходной под приварку ручной КШ-Р.П.ПП.П.Р. DN 15 PN 1,6 МПа, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.П.ПП.П.Р.;Неагрессивные к проточной части крана среды (вода, масло, нефтепродукты, природный газ и прочее);До +200;От -40 до +50;У1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Полнопроходной;Под приварку;Ручной;15;16;Углеродистая сталь;0,7;По запросу;4270;Под заказ;;;
Кран шаровой разборный проходной полнопроходной под приварку ручной КШ-Р.П.ПП.П.Р. DN 20 PN 1,6 МПа, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.П.ПП.П.Р.;Неагрессивные к проточной части крана среды (вода, масло, нефтепродукты, природный газ и прочее);До +200;От -40 до +50;У1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Полнопроходной;Под приварку;Ручной;20;16;Углеродистая сталь;1;По запросу;4750;Под заказ;;;
Кран шаровой разборный проходной полнопроходной под приварку ручной КШ-Р.П.ПП.П.Р. DN 25 PN 1,6 МПа, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.П.ПП.П.Р.;Неагрессивные к проточной части крана среды (вода, масло, нефтепродукты, природный газ и прочее);До +200;От -40 до +50;У1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Полнопроходной;Под приварку;Ручной;25;16;Углеродистая сталь;1,4;По запросу;5370;Под заказ;;;
Кран шаровой разборный проходной полнопроходной под приварку ручной КШ-Р.П.ПП.П.Р. DN 32 PN 1,6 МПа, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.П.ПП.П.Р.;Неагрессивные к проточной части крана среды (вода, масло, нефтепродукты, природный газ и прочее);До +200;От -40 до +50;У1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Полнопроходной;Под приварку;Ручной;32;16;Углеродистая сталь;1,7;По запросу;5850;Под заказ;;;
Кран шаровой разборный проходной полнопроходной под приварку ручной КШ-Р.П.ПП.П.Р. DN 40 PN 1,6 МПа, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.П.ПП.П.Р.;Неагрессивные к проточной части крана среды (вода, масло, нефтепродукты, природный газ и прочее);До +200;От -40 до +50;У1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Полнопроходной;Под приварку;Ручной;40;16;Углеродистая сталь;4,1;По запросу;7590;Под заказ;;;
Кран шаровой разборный проходной полнопроходной под приварку ручной КШ-Р.П.ПП.П.Р. DN 50 PN 1,6 МПа, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.П.ПП.П.Р.;Неагрессивные к проточной части крана среды (вода, масло, нефтепродукты, природный газ и прочее);До +200;От -40 до +50;У1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Полнопроходной;Под приварку;Ручной;50;16;Углеродистая сталь;5,8;По запросу;8230;Под заказ;;;
Кран шаровой разборный проходной полнопроходной под приварку ручной КШ-Р.П.ПП.П.Р. DN 65 PN 1,6 МПа, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.П.ПП.П.Р.;Неагрессивные к проточной части крана среды (вода, масло, нефтепродукты, природный газ и прочее);До +200;От -40 до +50;У1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Полнопроходной;Под приварку;Ручной;65;16;Углеродистая сталь;8,7;По запросу;10450;Под заказ;;;
Кран шаровой разборный проходной полнопроходной под приварку ручной КШ-Р.П.ПП.П.Р. DN 80 PN 1,6 МПа, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.П.ПП.П.Р.;Неагрессивные к проточной части крана среды (вода, масло, нефтепродукты, природный газ и прочее);До +200;От -40 до +50;У1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Полнопроходной;Под приварку;Ручной;80;16;Углеродистая сталь;10,8;По запросу;15040;Под заказ;;;
Кран шаровой разборный проходной полнопроходной под приварку ручной КШ-Р.П.ПП.П.Р. DN 100 PN 1,6 МПа, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.П.ПП.П.Р.;Неагрессивные к проточной части крана среды (вода, масло, нефтепродукты, природный газ и прочее);До +200;От -40 до +50;У1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Полнопроходной;Под приварку;Ручной;100;16;Углеродистая сталь;19;По запросу;17730;Под заказ;;;
Кран шаровой разборный проходной полнопроходной под приварку ручной КШ-Р.П.ПП.П.Р. DN 125 PN 1,6 МПа, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.П.ПП.П.Р.;Неагрессивные к проточной части крана среды (вода, масло, нефтепродукты, природный газ и прочее);До +200;От -40 до +50;У1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Полнопроходной;Под приварку;Ручной;125;16;Углеродистая сталь;33;По запросу;32470;Под заказ;;;
Кран шаровой разборный проходной полнопроходной под приварку с редуктором КШ-Р.П.ПП.П.РД. DN 150 PN 1,6 МПа, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.П.ПП.П.РД.;Неагрессивные к проточной части крана среды (вода, масло, нефтепродукты, природный газ и прочее);До +200;От -40 до +50;У1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Полнопроходной;Под приварку;Редукторный;150;16;Углеродистая сталь;52;По запросу;73480;Под заказ;;;
Кран шаровой разборный проходной полнопроходной под приварку с редуктором КШ-Р.П.ПП.П.РД. DN 200 PN 1,6 МПа, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.П.ПП.П.РД.;Неагрессивные к проточной части крана среды (вода, масло, нефтепродукты, природный газ и прочее);До +200;От -40 до +50;У1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Полнопроходной;Под приварку;Редукторный;200;16;Углеродистая сталь;105;По запросу;183900;Под заказ;;;
Кран шаровой разборный проходной полнопроходной муфтовый ручной КШ-Р.П.ПП.М.Р. DN 10 PN 1,6 МПа, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.П.ПП.М.Р.;Неагрессивные к проточной части крана среды (вода, масло, нефтепродукты, природный газ и прочее);До +200;От -40 до +50;У1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Полнопроходной;Муфтовое;Ручной;10;16;Углеродистая сталь;0,6;По запросу;2730;Под заказ;;;
Кран шаровой разборный проходной полнопроходной муфтовый ручной КШ-Р.П.ПП.М.Р. DN 15 PN 1,6 МПа, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.П.ПП.М.Р.;Неагрессивные к проточной части крана среды (вода, масло, нефтепродукты, природный газ и прочее);До +200;От -40 до +50;У1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Полнопроходной;Муфтовое;Ручной;15;16;Углеродистая сталь;0,7;По запросу;2840;Под заказ;;;
