Наименование;Раздел;Таблица фигур;Вид затвора;Тип присоединения;Тип привода;Диаметр DN, мм;Давление PN, кгс/см²;Материал корпуса;Цена закупки;Срок изготовления;Артикул;Картинки;Материал уплотнения
Задвижка клиновая литая с невыдвижным шпинделем фланцевая под электропривод 30ч930бр DN 1000 PN 1,0 МПа У3, корпус чугун, класс герметичности «D» по ГОСТ 9544-2015;Задвижки;30ч930бр;Клиновая;Фланцевое;Под электропривод;1000;10;Чугун;0;Под заказ;1000032;0.png;-
Задвижка клиновая литая с невыдвижным шпинделем фланцевая под электропривод 30ч930бр DN 1200 PN 1,0 МПа У3, корпус чугун, класс герметичности «D» по ГОСТ 9544-2015;Задвижки;30ч930бр;Клиновая;Фланцевое;Под электропривод;1200;10;Чугун;0;Под заказ;1000033;0.png;-
Задвижка клиновая литая с невыдвижным шпинделем фланцевая под электропривод 30ч930бр DN 1400 PN 1,0 МПа У3, корпус чугун, класс герметичности «D» по ГОСТ 9544-2015;Задвижки;30ч930бр;Клиновая;Фланцевое;Под электропривод;1400;10;Чугун;0;Под заказ;1000034;0.png;-
Задвижка клиновая литая с невыдвижным шпинделем фланцевая под электропривод 30ч930бр DN 1600 PN 1,0 МПа У3, корпус чугун, класс герметичности «D» по ГОСТ 9544-2015;Задвижки;30ч930бр;Клиновая;Фланцевое;Под электропривод;1600;10;Чугун;0;Под заказ;1000035;0.png;-
Задвижка с обрезиненным клином литая с невыдвижным шпинделем фланцевая ручная 30ч39р DN 50 PN 1,6 МПа У3, корпус чугун, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;30ч39р ;Клиновая;Фланцевое;Ручной;50;16;Чугун;0;Под заказ;1000036;0.png;-
Задвижка с обрезиненным клином литая с невыдвижным шпинделем фланцевая ручная 30ч39р DN 65 PN 1,6 МПа У3, корпус чугун, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;30ч39р ;Клиновая;Фланцевое;Ручной;65;16;Чугун;0;Под заказ;1000037;0.png;-
Задвижка с обрезиненным клином литая с невыдвижным шпинделем фланцевая ручная 30ч39р DN 80 PN 1,6 МПа У3, корпус чугун, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;30ч39р ;Клиновая;Фланцевое;Ручной;80;16;Чугун;0;Под заказ;1000038;0.png;-
Задвижка с обрезиненным клином литая с невыдвижным шпинделем фланцевая ручная 30ч39р DN 100 PN 1,6 МПа У3, корпус чугун, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;30ч39р ;Клиновая;Фланцевое;Ручной;100;16;Чугун;0;Под заказ;1000039;0.png;-
Задвижка с обрезиненным клином литая с невыдвижным шпинделем фланцевая ручная 30ч39р DN 125 PN 1,6 МПа У3, корпус чугун, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;30ч39р ;Клиновая;Фланцевое;Ручной;125;16;Чугун;0;Под заказ;1000040;0.png;-
Задвижка с обрезиненным клином литая с невыдвижным шпинделем фланцевая ручная 30ч39р DN 150 PN 1,6 МПа У3, корпус чугун, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;30ч39р ;Клиновая;Фланцевое;Ручной;150;16;Чугун;0;Под заказ;1000041;0.png;-
Задвижка с обрезиненным клином литая с невыдвижным шпинделем фланцевая ручная 30ч39р DN 200 PN 1,6 МПа У3, корпус чугун, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;30ч39р ;Клиновая;Фланцевое;Ручной;200;16;Чугун;0;Под заказ;1000042;0.png;-
Задвижка с обрезиненным клином литая с невыдвижным шпинделем фланцевая ручная 30ч39р DN 250 PN 1,6 МПа У3, корпус чугун, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;30ч39р ;Клиновая;Фланцевое;Ручной;250;16;Чугун;0;Под заказ;1000043;0.png;-
Задвижка с обрезиненным клином литая с невыдвижным шпинделем фланцевая ручная 30ч39р DN 300 PN 1,6 МПа У3, корпус чугун, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;30ч39р ;Клиновая;Фланцевое;Ручной;300;16;Чугун;0;Под заказ;1000044;0.png;-
Задвижка с обрезиненным клином литая с невыдвижным шпинделем фланцевая ручная 30ч39р DN 350 PN 1,6 МПа У3, корпус чугун, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;30ч39р ;Клиновая;Фланцевое;Ручной;350;16;Чугун;0;Под заказ;1000045;0.png;-
