Наименование;Раздел;Таблица фигур;Короткое наименование;Состав;"Пределы давления
настройки, Рн, кгс/см2 (№ пружины)";Рабочая среда;Температура рабочей среды, °С;Температура окружающего воздуха, °С;Климатическое исполнение;Класс герметичности;Приемка;Назначенный срок службы, лет;Назначенный ресурс, циклов;Наработка на отказ, циклов;Гарантия;Диаметр DN/DN1, мм;Давление PN/PN1, кгс/см²;Материал корпуса;Масса, кг, не более;Цена закупки;Цена без НДС;Срок изготовления
"Блок предохранительных клапанов БПУ РС 150-16нж УХЛ1 50нж14нж3 в составе: клапан предохранительный пружинный сильфонный фланцевый СППК5РС 150-16нж1 28нж20нж1 DN 150/200 PN 1,6/0,6 МПа УХЛ1, пружина № ?, Рн=? кгс/см², корпус ст. 12Х18Н12М3ТЛ - 2 шт.; переключающее устройство ПУ 150-16-05нж1 23нж16нж3 DN 150 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ - 1 шт.; переключающее устройство ПУ 200-6-02нж1 23нж18нж1 DN 200 PN 0,6 МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ - 1 шт.";Блок предохранительных клапанов с переключающими устройствами;50нж14нж3;Блок предохранительных клапанов БПУ РС 150-16нж УХЛ1 50нж14нж3;"клапан предохранительный пружинный сильфонный фланцевый СППК5РС 150-16нж1 28нж20нж1 DN 150 (исп. В) / 200 (исп. В) PN 1,6 (вход) / 0,6 (выход) МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ - 2 шт.; переключающее устройство ПУ 150-16-05нж1 23нж16нж3 DN 150 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ - 1 шт.; переключающее устройство ПУ 200-6-02нж1 23нж18нж1 DN 200 PN 0,6 МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ - 1 шт.";"0,5…1,5 (70); 1,5…3 (71); 3…5 (72); 5…8 (73); 8…12 (74); 12…16 (75)";Вода, воздух, пар, природный газ, жидкие углеводороды и нефтепродукты, масляные фракции, нефтехимические и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +600;От -60 до +45;УХЛ1;А;ОТК;10;830;180;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;150/200;16/6;Коррозионностойкая сталь;638;По запросу;2734700;25-30 рабочих дней
"Блок предохранительных клапанов БПУ РС 200-16нж УХЛ1 50нж16нж3 в составе: клапан предохранительный пружинный сильфонный фланцевый СППК5РС 200-16нж1 28нж20нж1 DN 200/300 PN 1,6/0,6 МПа УХЛ1, пружина № ?, Рн=? кгс/см², корпус ст. 12Х18Н12М3ТЛ - 2 шт.; переключающее устройство ПУ 200-16-02нж1 23нж16нж1 DN 200 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ - 1 шт.; переключающее устройство ПУ 300-6-02нж1 23нж18нж1 DN 300 PN 0,6 МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ - 1 шт.";Блок предохранительных клапанов с переключающими устройствами;50нж16нж3;Блок предохранительных клапанов БПУ РС 200-16нж УХЛ1 50нж16нж3;"клапан предохранительный пружинный сильфонный фланцевый СППК5РС 200-16нж1 28нж20нж1 DN 200 (исп. В) / 300 (исп. В) PN 1,6 (вход) / 0,6 (выход) МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ - 2 шт.; переключающее устройство ПУ 200-16-02нж1 23нж16нж1 DN 200 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ - 1 шт.; переключающее устройство ПУ 300-6-02нж1 23нж18нж1 DN 300 PN 0,6 МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ - 1 шт.";"0,5…1 (72); 1…2 (73); 2…3 (74); 3…5 (75); 5…7 (76); 7…9 (77); 9…12 (78); 12…16 (79)";Вода, воздух, пар, природный газ, жидкие углеводороды и нефтепродукты, масляные фракции, нефтехимические и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +600;От -60 до +45;УХЛ1;А;ОТК;10;830;180;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;200/300;16/6;Коррозионностойкая сталь;1102;По запросу;5540450;25-30 рабочих дней
"Блок предохранительных клапанов БПУ РС 25-40нж1 УХЛ1 50нж01нж3 в составе: клапан предохранительный пружинный сильфонный фланцевый СППК5РС 25-40нж1 28нж21нж1 DN 25/40 PN 4,0/1,6 МПа УХЛ1, пружина № ?, Рн=? кгс/см², корпус ст. 12Х18Н12М3ТЛ - 2 шт.; переключающее устройство ПУ 25-40-02нж1 23нж17нж1 DN 25 PN 4,0 МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ - 1 шт.; переключающее устройство ПУ 50-16-04нж1 23нж16нж2 DN 50 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ - 1 шт.";Блок предохранительных клапанов с переключающими устройствами;50нж01нж3;Блок предохранительных клапанов БПУ РС 25-40нж УХЛ1 50нж01нж3;"клапан предохранительный пружинный сильфонный фланцевый СППК5РС 25-40нж1 28нж21нж1 DN 25 (исп. F) / 40 (исп. В) PN 4,0 (вход) / 1,6 (выход) МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ - 2 шт.; переключающее устройство ПУ 25-40-02нж1 23нж17нж1 DN 25 PN 4,0 МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ - 1 шт.; переключающее устройство ПУ 50-16-04нж1 23нж16нж2 DN 50 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ - 1 шт.";"6…8 (8); 8…16 (1); 16…25 (2); 25…40 (3) ";Вода, воздух, пар, природный газ, жидкие углеводороды и нефтепродукты, масляные фракции, нефтехимические и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +600;От -60 до +45;УХЛ1;А;ОТК;10;830;180;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;25/40;40/16;Коррозионностойкая сталь;131;По запросу;671940;25-30 рабочих дней
"Блок предохранительных клапанов БПУ РС 50-40нж УХЛ1 50нж03нж3 в составе: клапан предохранительный пружинный сильфонный фланцевый СППК5РС 50-40нж1 28нж21нж1 DN 50/80 PN 4,0/1,6 МПа УХЛ1, пружина № ?, Рн=? кгс/см², корпус ст. 12Х18Н12М3ТЛ - 2 шт.; переключающее устройство ПУ 50-40-05нж1 23нж17нж3 DN 50 PN 4,0 МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ - 1 шт.; переключающее устройство ПУ 80-16-04нж1 23нж16нж2 DN 80 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ - 1 шт.";Блок предохранительных клапанов с переключающими устройствами;50нж03нж3;Блок предохранительных клапанов БПУ РС 50-40нж УХЛ1 50нж03нж3;"клапан предохранительный пружинный сильфонный фланцевый СППК5РС 50-40нж1 28нж21нж1 DN 50 (исп. F) / 80 (исп. В) PN 4,0 (вход) / 1,6 (выход) МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ - 2 шт.; переключающее устройство ПУ 50-40-05нж1 23нж17нж3 DN 50 PN 4,0 МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ - 1 шт.; переключающее устройство ПУ 80-16-04нж1 23нж16нж2 DN 80 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ - 1 шт.";"6…8 (13); 8…20 (14); 20…30 (15); 30…40 (16)";Вода, воздух, пар, природный газ, жидкие углеводороды и нефтепродукты, масляные фракции, нефтехимические и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +600;От -60 до +45;УХЛ1;А;ОТК;10;830;180;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;50/80;40/16;Коррозионностойкая сталь;167;По запросу;1000350;25-30 рабочих дней
"Блок предохранительных клапанов БПУ РС 80-40нж УХЛ1 50нж07нж3 в составе: клапан предохранительный пружинный сильфонный фланцевый СППК5РС 80-40нж1 28нж21нж1 DN 80/100 PN 4,0/1,6 МПа УХЛ1, пружина № ?, Рн=? кгс/см², корпус ст. 12Х18Н12М3ТЛ - 2 шт.; переключающее устройство ПУ 80-40-05нж1 23нж17нж3 DN 80 PN 4,0 МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ - 1 шт.; переключающее устройство ПУ 100-16-04нж1 23нж16нж2 DN 100 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ - 1 шт.";Блок предохранительных клапанов с переключающими устройствами;50нж07нж3;Блок предохранительных клапанов БПУ РС 80-40нж УХЛ1 50нж07нж3;"клапан предохранительный пружинный сильфонный фланцевый СППК5РС 80-40нж1 28нж21нж1 DN 80 (исп. F) / 100 (исп. В) PN 4,0 (вход) / 1,6 (выход) МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ - 2 шт.; переключающее устройство ПУ 80-40-05нж1 23нж17нж3 DN 80 PN 4,0 МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ - 1 шт.; переключающее устройство ПУ 100-16-04нж1 23нж16нж2 DN 100 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ - 1 шт.";"6…8 (33); 8…20 (35); 20…30 (36); 30…40 (37)";Вода, воздух, пар, природный газ, жидкие углеводороды и нефтепродукты, масляные фракции, нефтехимические и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +600;От -60 до +45;УХЛ1;А;ОТК;10;830;180;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;80/100;40/16;Коррозионностойкая сталь;265;По запросу;1422250;25-30 рабочих дней
"Блок предохранительных клапанов БПУ РС 100-40нж УХЛ1 50нж11нж3 в составе: клапан предохранительный пружинный сильфонный фланцевый СППК5РС 100-40нж1 28нж21нж1 DN 100/150 PN 4,0/1,6 МПа УХЛ1, пружина № ?, Рн=? кгс/см², корпус ст. 12Х18Н12М3ТЛ - 2 шт.; переключающее устройство ПУ 100-40-05нж1 23нж17нж3 DN 100 PN 4,0 МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ - 1 шт.; переключающее устройство ПУ 150-16-04нж1 23нж16нж2 DN 150 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ - 1 шт.";Блок предохранительных клапанов с переключающими устройствами;50нж11нж3;Блок предохранительных клапанов БПУ РС 100-40нж УХЛ1 50нж11нж3;"клапан предохранительный пружинный сильфонный фланцевый СППК5РС 100-40нж1 28нж21нж1 DN 100 (исп. F) / 150 (исп. В) PN 4,0 (вход) / 1,6 (выход) МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ - 2 шт.; переключающее устройство ПУ 100-40-05нж1 23нж17нж3 DN 100 PN 4,0 МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ - 1 шт.; переключающее устройство ПУ 150-16-04нж1 23нж16нж2 DN 150 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ - 1 шт.";"8…16 (55); 16…26 (56); 26…40 (57)";Вода, воздух, пар, природный газ, жидкие углеводороды и нефтепродукты, масляные фракции, нефтехимические и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +600;От -60 до +45;УХЛ1;А;ОТК;10;830;180;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;100/150;40/16;Коррозионностойкая сталь;454;По запросу;2055170;25-30 рабочих дней
"Блок предохранительных клапанов БПУ РС 150-40нж УХЛ1 50нж15нж3 в составе: клапан предохранительный пружинный сильфонный фланцевый СППК5РС 150-40нж1 28нж21нж1 DN 150/200 PN 4,0/1,6 МПа УХЛ1, пружина № ?, Рн=? кгс/см², корпус ст. 12Х18Н12М3ТЛ - 2 шт.; переключающее устройство ПУ 150-40-05нж1 23нж17нж3 DN 150 PN 4,0 МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ - 1 шт.; переключающее устройство ПУ 200-16-02нж1 23нж16нж1 DN 200 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ - 1 шт.";Блок предохранительных клапанов с переключающими устройствами;50нж15нж3;Блок предохранительных клапанов БПУ РС 150-40нж УХЛ1 50нж15нж3;"клапан предохранительный пружинный сильфонный фланцевый СППК5РС 150-40нж1 28нж21нж1 DN 150 (исп. F) / 200 (исп. В) PN 4,0 (вход) / 1,6 (выход) МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ - 2 шт.; переключающее устройство ПУ 150-40-05нж1 23нж17нж3 DN 150 PN 4,0 МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ - 1 шт.; переключающее устройство ПУ 200-16-02нж1 23нж16нж1 DN 200 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ - 1 шт.";"8…12 (74); 12…18 (75); 18…25 (76); 25…35 (77); 35…40 (78)";Вода, воздух, пар, природный газ, жидкие углеводороды и нефтепродукты, масляные фракции, нефтехимические и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +600;От -60 до +45;УХЛ1;А;ОТК;10;830;180;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;150/200;40/16;Коррозионностойкая сталь;688;По запросу;3182290;25-30 рабочих дней
"Блок предохранительных клапанов БПУ РС 50-63нж УХЛ1 50нж04нж3 в составе: клапан предохранительный пружинный сильфонный фланцевый СППК5РС 50-63нж1 28нж22нж1 DN 50/80 PN 6,3/4,0 МПа УХЛ1, пружина № ?, Рн=? кгс/см², корпус ст. 12Х18Н12М3ТЛ - 2 шт.; переключающее устройство ПУ 50-63-02нж1 23нж20нж1 DN 50 PN 6,3 МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ - 1 шт.; переключающее устройство ПУ 80-40-04нж1 23нж17нж2 DN 80 PN 4,0 МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ - 1 шт.";Блок предохранительных клапанов с переключающими устройствами;50нж04нж3;Блок предохранительных клапанов БПУ РС 50-63нж УХЛ1 50нж04нж3;"клапан предохранительный пружинный сильфонный фланцевый СППК5РС 50-63нж1 28нж22нж1 DN 50 (исп. ?) / 80 (исп. F) PN 6,3 (вход) / 4,0 (выход) МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ - 2 шт.; переключающее устройство ПУ 50-63-02нж1 23нж20нж1 DN 50 PN 6,3 МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ - 1 шт.; переключающее устройство ПУ 80-40-04нж1 23нж17нж2 DN 80 PN 4,0 МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ - 1 шт.";"20…34 (55); 30…54 (56); 50…63 (57)";Вода, воздух, пар, природный газ, жидкие углеводороды и нефтепродукты, масляные фракции, нефтехимические и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +600;От -60 до +45;УХЛ1;А;ОТК;10;830;180;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;50/80;63/40;Коррозионностойкая сталь;260;По запросу;1793610;25-30 рабочих дней
"Блок предохранительных клапанов БПУ РС 80-63нж УХЛ1 50нж08нж3 в составе: клапан предохранительный пружинный сильфонный фланцевый СППК5РС 80-63нж1 28нж22нж1 DN 80/100 PN 6,3/4,0 МПа УХЛ1, пружина № ?, Рн=? кгс/см², корпус ст. 12Х18Н12М3ТЛ - 2 шт.; переключающее устройство ПУ 80-63-02нж1 23нж20нж1 DN 80 PN 6,3 МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ - 1 шт.; переключающее устройство ПУ 100-40-04нж1 23нж17нж2 DN 100 PN 4,0 МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ - 1 шт.";Блок предохранительных клапанов с переключающими устройствами;50нж08нж3;Блок предохранительных клапанов БПУ РС 80-63нж УХЛ1 50нж08нж3;"клапан предохранительный пружинный сильфонный фланцевый СППК5РС 80-63нж1 28нж22нж1 DN 80 (исп. ?) / 100 (исп. F) PN 6,3 (вход) / 4,0 (выход) МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ - 2 шт.; переключающее устройство ПУ 80-63-02нж1 23нж20нж1 DN 80 PN 6,3 МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ - 1 шт.; переключающее устройство ПУ 100-40-04нж1 23нж17нж2 DN 100 PN 4,0 МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ - 1 шт.";"25…35 (38); 35…44 (37); 44…50 (39); 50…63 (40)";Вода, воздух, пар, природный газ, жидкие углеводороды и нефтепродукты, масляные фракции, нефтехимические и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +600;От -60 до +45;УХЛ1;А;ОТК;10;830;180;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;80/100;63/40;Коррозионностойкая сталь;388;По запросу;2167630;25-30 рабочих дней
"Блок предохранительных клапанов БПУ РС 100-63нж УХЛ1 50нж12нж5 в составе: клапан предохранительный пружинный сильфонный фланцевый СППК5РС 100-63нж1 28нж22нж1 DN 100/150 PN 6,3/4,0 МПа УХЛ1, пружина № ?, Рн=? кгс/см², корпус ст. 12Х18Н12М3ТЛ - 2 шт.; переключающее устройство ПУ 100-63-02нж1 23нж20нж1 DN 100 PN 6,3 МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ - 1 шт.; Переключающее устройство ПУ 150-40-04нж1 23нж17нж2 DN 150 PN 4,0 МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ - 1 шт.";Блок предохранительных клапанов с переключающими устройствами;50нж12нж5;Блок предохранительных клапанов БПУ РС 100-63нж УХЛ1 50нж12нж5;"клапан предохранительный пружинный сильфонный фланцевый СППК5РС 100-63нж1 28нж22нж1 DN 100 (исп. ?) / 150 (исп. F) PN 6,3 (вход) / 4,0 (выход) МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ - 2 шт.; переключающее устройство ПУ 100-63-02нж1 23нж20нж1 DN 100 PN 6,3 МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ - 1 шт.; Переключающее устройство ПУ 150-40-04нж1 23нж17нж2 DN 150 PN 4,0 МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ - 1 шт.";"25…40 (77); 40…55 (80); 55…63 (81)";Вода, воздух, пар, природный газ, жидкие углеводороды и нефтепродукты, масляные фракции, нефтехимические и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +600;От -60 до +45;УХЛ1;А;ОТК;10;830;180;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;100/150;63/40;Коррозионностойкая сталь;748;По запросу;3698130;25-30 рабочих дней
"Блок предохранительных клапанов БПУ РС 50-160нж1 УХЛ1 50нж05нж3 в составе: клапан предохранительный пружинный сильфонный фланцевый СППК5РС 50-160нж1 28нж23нж1 DN 50/80 PN 16,0/4,0 МПа УХЛ1, пружина № ?, Рн=? кгс/см², корпус ст. 12Х18Н12М3ТЛ - 2 шт.; переключающее устройство ПУ 50-160-02нж1 23нж19нж1 DN 50 PN 16,0 МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ - 1 шт.; переключающее устройство ПУ 80-40-04нж1 23нж17нж2 DN 80 PN 4,0 МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ - 1 шт.";Блок предохранительных клапанов с переключающими устройствами;50нж05нж3;Блок предохранительных клапанов БПУ РС 50-160нж1 УХЛ1 50нж05нж3;"клапан предохранительный пружинный сильфонный фланцевый СППК5РС 50-160нж1 28нж23нж1 DN 50 (исп. J) / 80 (исп. F) PN 16,0 (вход) / 4,0 (выход) МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ - 2 шт.; переключающее устройство ПУ 50-160-02нж1 23нж19нж1 DN 50 PN 16,0 МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ - 1 шт.; переключающее устройство ПУ 80-40-04нж1 23нж17нж2 DN 80 PN 4,0 МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ - 1 шт.";"53…90 (58); 85…124 (59); 124…141 (60); 140…160 (61)";Вода, воздух, пар, природный газ, жидкие углеводороды и нефтепродукты, масляные фракции, нефтехимические и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +600;От -60 до +45;УХЛ1;А;ОТК;10;830;180;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;50/80;160/40;Коррозионностойкая сталь;305;По запросу;1891600;25-30 рабочих дней
"Блок предохранительных клапанов БПУ РС 80-160нж УХЛ1 50нж09нж3 в составе: клапан предохранительный пружинный сильфонный фланцевый СППК5РС 80-160нж1 28нж23нж1 DN 80/100 PN 16,0/4,0 МПа УХЛ1, пружина № ?, Рн=? кгс/см², корпус ст. 12Х18Н12М3ТЛ - 2 шт.; переключающее устройство ПУ 80-160-02нж1 23нж19нж1 DN 80 PN 16,0 МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ - 1 шт.; переключающее устройство ПУ 100-40-04нж1 23нж17нж2 DN 100 PN 4,0 МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ - 1 шт.";Блок предохранительных клапанов с переключающими устройствами;50нж09нж3;Блок предохранительных клапанов БПУ РС 80-160нж УХЛ1 50нж09нж3;"клапан предохранительный пружинный сильфонный фланцевый СППК5РС 80-160нж1 28нж23нж1 DN 80 (исп. J) / 100 (исп. F) PN 16,0 (вход) / 4,0 (выход) МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ - 2 шт.; переключающее устройство ПУ 80-160-02нж1 23нж19нж1 DN 80 PN 16,0 МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ - 1 шт.; переключающее устройство ПУ 100-40-04нж1 23нж17нж2 DN 100 PN 4,0 МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ - 1 шт.";"50…63 (40); 63…100 (41); 100…135 (42); 135…160 (43)";Вода, воздух, пар, природный газ, жидкие углеводороды и нефтепродукты, масляные фракции, нефтехимические и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +600;От -60 до +45;УХЛ1;А;ОТК;10;830;180;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;80/100;160/40;Коррозионностойкая сталь;415;По запросу;2683870;25-30 рабочих дней
"Блок предохранительных клапанов БПУ РС 100-160нж УХЛ1 50нж13нж9 в составе: клапан предохранительный пружинный сильфонный фланцевый СППК5РС 100-160нж1 28нж23нж1 DN 100/150  PN 16,0/4,0 МПа УХЛ1, пружина № ?, Рн=? кгс/см², корпус ст. 12Х18Н12М3ТЛ - 2 шт.; переключающее устройство ПУ 100-160-02нж1 23нж19нж1 DN 100 PN 16,0 МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ - 1 шт.; Переключающее устройство ПУ 150-40-04нж1 23нж17нж2 DN 150 PN 4,0 МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ - 1 шт.";Блок предохранительных клапанов с переключающими устройствами;50нж13нж9;Блок предохранительных клапанов БПУ РС 100-160нж УХЛ1 50нж13нж9;"клапан предохранительный пружинный сильфонный фланцевый СППК5РС 100-160нж1 28нж23нж1 DN 100 (исп. J) / 150 (исп. F) PN 16,0 (вход) / 4,0 (выход) МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ - 2 шт.; переключающее устройство ПУ 100-160-02нж1 23нж19нж1 DN 100 PN 16,0 МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ - 1 шт.; Переключающее устройство ПУ 150-40-04нж1 23нж17нж2 DN 150 PN 4,0 МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ - 1 шт.";"63…100 (80); 100…125 (81); 110…145 (82); 135…160 (83)";Вода, воздух, пар, природный газ, жидкие углеводороды и нефтепродукты, масляные фракции, нефтехимические и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +600;От -60 до +45;УХЛ1;А;ОТК;10;830;180;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;100/150;160/40;Коррозионностойкая сталь;790;По запросу;4103740;25-30 рабочих дней
"Блок предохранительных клапанов БПУ С 50-16нж УХЛ1 50нж02нж2 в составе: клапан предохранительный сильфонный фланцевый СППК5С 50-16нж1 28нж20нж DN 50/80 PN 1,6/0,6 МПа УХЛ1, пружина № ?, Рн=? кгс/см², корпус ст. 12Х18Н12М3ТЛ, класс герметичности «А» по ГОСТ 9544-2015 - 2 шт.; переключающее устройство ПУ 50-16-05нж1 23нж16нж3 DN 50 PN 1,6 МПа, корпус ст. 12Х18Н12М3ТЛ - 1 шт.; переключающее устройство ПУ 80-6-02нж1 23нж18нж1 DN 80 PN 0,6 МПа, корпус ст. 12Х18Н12М3ТЛ - 1 шт";Блок предохранительных клапанов с переключающими устройствами;50нж02нж2;Блок предохранительных клапанов БПУ С 50-16нж УХЛ1 50нж02нж2;"клапан предохранительный пружинный сильфонный фланцевый СППК5С 50-16нж1 28нж20нж DN 50 (исп. В) / 80 (исп. В) PN 1,6 (вход) / 0,6 (выход) МПа УХЛ1, корпус ст. 12Х18Н12М3Т - 2 шт.; переключающее устройство ПУ 50-16-05нж1 23нж16нж3 DN 50 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ - 1 шт.; переключающее устройство ПУ 80-6-02нж1 23нж18нж1 DN 80 PN 0,6 МПа УХЛ1, корпус ст. 12Х18Н12М3ТЛ - 1 шт.";"6…8 (13); 8…16 (14)";Вода, воздух, пар, природный газ, жидкие углеводороды и нефтепродукты, масляные фракции, нефтехимические и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +600;От -60 до +45;УХЛ1;А;ОТК;10;830;180;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;50/80;16/6;Коррозионностойкая сталь;155;По запросу;857840;25-30 рабочих дней
